BioSample	NS_lat
SAMD00000334	N
SAMD00065354	N
SAMN02688394	N
SAMN02713587	N
SAMN02731427	N
SAMN02767600	N
SAMN02797826	N
SAMN02797828	N
SAMN02820311	N
SAMN02848645	N
SAMN02874015	N
SAMN02887314	N
SAMN02943514	N
SAMN02943515	N
SAMN03002394	N
SAMN03175163	N
SAMN03177465	N
SAMN03177466	N
SAMN03177469	N
SAMN03177470	N
SAMN03177471	N
SAMN03177473	N
SAMN03177474	N
SAMN03177475	N
SAMN03177477	N
SAMN03177478	N
SAMN03177480	N
SAMN03177481	N
SAMN03177483	N
SAMN03177484	N
SAMN03177485	N
SAMN03177486	N
SAMN03177487	N
SAMN03177488	N
SAMN03177489	N
SAMN03177490	N
SAMN03177491	N
SAMN03177492	N
SAMN03177493	N
SAMN03177494	N
SAMN03177495	N
SAMN03177496	N
SAMN03177497	N
SAMN03196604	N
SAMN03265108	N
SAMN03267964	N
SAMN03272559	N
SAMN03288261	S
SAMN03290670	N
SAMN03290698	N
SAMN03290700	N
SAMN03338741	N
SAMN03338742	N
SAMN03338743	N
SAMN03338744	N
SAMN03372109	S
SAMN03460429	N
SAMN03496755	N
SAMN03776961	S
SAMN03793145	N
SAMN03793146	N
SAMN03793151	N
SAMN03840761	N
SAMN03921880	N
SAMN03941250	N
SAMN04023334	N
SAMN04241384	N
SAMN04479830	N
SAMN04491053	N
SAMN04492771	N
SAMN04492779	N
SAMN04492780	N
SAMN04492781	N
SAMN04492782	N
SAMN04492783	N
SAMN04492784	N
SAMN04492785	N
SAMN04492786	N
SAMN04492787	N
SAMN04492789	N
SAMN04492790	N
SAMN04492791	N
SAMN04492792	N
SAMN04492793	N
SAMN04517448	N
SAMN04550924	N
SAMN04595071	S
SAMN04595072	S
SAMN04599205	N
SAMN05001334	S
SAMN05187972	N
SAMN05447655	N
SAMN05447658	N
SAMN05791985	N
SAMN05791986	N
SAMN05791987	N
SAMN05792585	S
SAMN05825228	S
SAMN05830624	S
SAMN05830709	S
SAMN05830710	S
SAMN05830711	S
SAMN05915249	S
SAMN05915250	S
SAMN05915251	S
SAMN05915252	S
SAMN05915253	S
SAMN05915254	S
SAMN05915255	S
SAMN05915256	S
SAMN05915257	S
SAMN05915258	S
SAMN05915259	S
SAMN05915260	S
SAMN05915261	S
SAMN05915262	S
SAMN05915263	S
SAMN05915264	S
SAMN05915265	S
SAMN05915266	S
SAMN05915267	S
SAMN05915268	S
SAMN05915269	S
SAMN05915270	S
SAMN05915271	S
SAMN05915272	S
SAMN05915273	S
SAMN05915274	S
SAMN05915275	S
SAMN05915276	S
SAMN05915277	S
SAMN05915278	S
SAMN05915279	S
SAMN05915280	S
SAMN05915281	S
SAMN05915282	S
SAMN05915283	S
SAMN05915284	S
SAMN05915285	S
SAMN05915286	S
SAMN05915287	S
SAMN05915288	S
SAMN05915289	S
SAMN05915290	S
SAMN05915291	S
SAMN05915292	S
SAMN05915293	S
SAMN05916217	S
SAMN05916218	S
SAMN05916219	S
SAMN05916220	S
SAMN05916221	S
SAMN05916222	S
SAMN05916223	S
SAMN05916224	S
SAMN05916225	S
SAMN05916226	S
SAMN05916227	S
SAMN05916228	S
SAMN05916229	S
SAMN05916230	S
SAMN05916231	S
SAMN05916232	S
SAMN05916233	S
SAMN05916234	S
SAMN05916235	S
SAMN05916236	S
SAMN05916237	S
