BioSample	WE_lon
SAMD00000334	E
SAMD00065354	E
SAMN02688394	E
SAMN02713587	E
SAMN02731427	E
SAMN02767600	E
SAMN02797826	E
SAMN02797828	E
SAMN02820311	E
SAMN02848645	E
SAMN02874015	E
SAMN02887314	E
SAMN02943514	E
SAMN02943515	E
SAMN03002394	E
SAMN03175163	E
SAMN03177465	E
SAMN03177466	E
SAMN03177469	E
SAMN03177470	E
SAMN03177471	E
SAMN03177473	E
SAMN03177474	E
SAMN03177475	E
SAMN03177477	E
SAMN03177478	E
SAMN03177480	E
SAMN03177481	E
SAMN03177483	E
SAMN03177484	E
SAMN03177485	E
SAMN03177486	E
SAMN03177487	E
SAMN03177488	E
SAMN03177489	E
SAMN03177490	E
SAMN03177491	E
SAMN03177492	E
SAMN03177493	E
SAMN03177494	E
SAMN03177495	E
SAMN03177496	E
SAMN03177497	E
SAMN03196604	E
SAMN03265108	E
SAMN03267964	W
SAMN03272559	E
SAMN03288261	W
SAMN03290670	E
SAMN03290698	E
SAMN03290700	E
SAMN03338741	E
SAMN03338742	E
SAMN03338743	E
SAMN03338744	E
SAMN03372109	E
SAMN03460429	E
SAMN03496755	E
SAMN03776961	W
SAMN03793145	E
SAMN03793146	E
SAMN03793151	E
SAMN03840761	E
SAMN03921880	E
SAMN03941250	E
SAMN04023334	E
SAMN04241384	E
SAMN04479830	W
SAMN04491053	W
SAMN04492771	E
SAMN04492779	E
SAMN04492780	E
SAMN04492781	E
SAMN04492782	E
SAMN04492783	E
SAMN04492784	E
SAMN04492785	E
SAMN04492786	E
SAMN04492787	E
SAMN04492789	E
SAMN04492790	E
SAMN04492791	E
SAMN04492792	E
SAMN04492793	E
SAMN04517448	E
SAMN04550924	E
SAMN04595071	W
SAMN04595072	W
SAMN04599205	E
SAMN05001334	E
SAMN05187972	E
SAMN05447655	E
SAMN05447658	E
SAMN05791985	E
SAMN05791986	W
SAMN05791987	W
SAMN05792585	W
SAMN05825228	W
SAMN05830624	W
SAMN05830709	W
SAMN05830710	W
SAMN05830711	W
SAMN05915249	W
