BioSample	collection_date
SAMN02567761	2007-06-04
SAMN02567762	2006-10-17
SAMN02567763	2001-04-26
SAMN02567764	2008-01-31
SAMN02567765	2006-01-13
SAMN02567766	2001-07-06
SAMN02567767	2004-01-05
SAMD00000334	1951
SAMD00065354	2004
SAMD00076256	2008-04-18
SAMD00076257	2008-07-18
SAMD00076258	2009-03-24
SAMD00076259	2007-09-05
SAMD00322307	2020
SAMEA1015921	2008
SAMEA1015922	2008
SAMEA1015923	2008
SAMEA1015927	2009
SAMEA1015929	2008
SAMEA1015931	2008
SAMEA1015932	2008
SAMEA1015933	2009
SAMEA1015935	2009
SAMEA1015936	2009
SAMEA1015937	2009
SAMEA1015939	2008
SAMEA1015940	2008
SAMEA1015941	2009
SAMEA1015942	2008
SAMEA1015943	2009
SAMEA1015944	2008
SAMEA1015949	2008
SAMEA1015951	2008
SAMEA1015954	2009
SAMEA1015957	2009
SAMEA1015958	2008
SAMEA1015959	2009
SAMEA1015960	2008
SAMEA1015961	2008
SAMEA1015962	2009
SAMEA1015968	2009
SAMEA1015969	2008
SAMEA1015973	2008
SAMEA1015975	2009
SAMEA1015977	2009
SAMEA1015978	2009
SAMEA1015979	2009
SAMEA1015980	2008
SAMEA1015981	1998
SAMEA1015982	2009
SAMEA1015985	2008
SAMEA1015986	2009
SAMEA1015987	2008
SAMEA1015988	2008
SAMEA1015989	2009
SAMEA1015990	2008
SAMEA1015991	2008
SAMEA1015995	2008
SAMEA1015996	2009
SAMEA1015997	2008
SAMEA1015998	2008
SAMEA1016000	2008
SAMEA1016002	2009
SAMEA1016004	2008
SAMEA1016005	2009
SAMEA1016006	2009
SAMEA1016007	2009
SAMEA1016008	2009
SAMEA1016010	2009
SAMEA1016011	2008
SAMEA1016013	2009
SAMEA1016014	2008
SAMEA1016015	2008
SAMEA1016016	2003
SAMEA1016018	2008
SAMEA1016019	2008
SAMEA1016021	2009
SAMEA1016023	2009
SAMEA1016024	2008
SAMEA1016025	2009
SAMEA1016026	2008
SAMEA1016028	2009
SAMEA1016029	2009
SAMEA1016030	2008
SAMEA1016033	2009
SAMEA1016034	2009
SAMEA1016037	2009
SAMEA1016038	2009
SAMEA1016039	2008
SAMEA1016042	2008
SAMEA1016043	2009
SAMEA1016044	2009
SAMEA1016045	2008
SAMEA1016047	2008
SAMEA1016051	2009
SAMEA1016052	2008
SAMEA1016053	2009
SAMEA1016054	2009
SAMEA1016055	2008
SAMEA1016060	2008
SAMEA1016061	2009
SAMEA1016062	2009
SAMEA1016063	2008
SAMEA1016066	2009
SAMEA1016067	2008
SAMEA1016068	2008
SAMEA1016071	2008
SAMEA1016072	2008
SAMEA1016073	2008
SAMEA1016074	2008
SAMEA1016075	2008
SAMEA1016077	2008
SAMEA1016078	2008
SAMEA1016080	2008
SAMEA1016081	2009
SAMEA1016082	2008
SAMEA1016083	2008
SAMEA1016084	2008
SAMEA1016086	2008
SAMEA1016087	2009
SAMEA1016088	2009
SAMEA1016089	2008
SAMEA1016090	2008
SAMEA1016091	2008
SAMEA1016093	2009
SAMEA1016096	2008
SAMEA1016097	2008
SAMEA1016098	2008
SAMEA1016099	2008
SAMEA1016100	2009
SAMEA1016101	2008
SAMEA1016103	2008
SAMEA1016104	2008
SAMEA1016105	2009
SAMEA1016109	2008
SAMEA1016111	2008
SAMEA1016112	2008
SAMEA1016113	2008
SAMEA1016114	2009
SAMEA1016117	2008
SAMEA1016118	2008
SAMEA1016120	2008
SAMEA1016122	2009
SAMEA1016123	2008
SAMEA1016124	2008
SAMEA1016126	2009
SAMEA1016127	2008
SAMEA1016128	2008
SAMEA1016129	2008
SAMEA1016130	2008
SAMEA1016134	2008
SAMEA1016137	2008
SAMEA1016138	2000
SAMEA1016139	2009
SAMEA1016140	2008
SAMEA1016142	2009
SAMEA1016143	2008
SAMEA1016144	2008
SAMEA1016145	2008
SAMEA1016146	2009
SAMEA1016147	2009
SAMEA1016148	2008
SAMEA1016151	2009
SAMEA1016152	2008
SAMEA1016157	2001
SAMEA1016158	2008
SAMEA1016159	2008
SAMEA1016160	2008
SAMEA1016161	2009
SAMEA1016162	2008
SAMEA1016163	2009
SAMEA1016165	2009
SAMEA1016166	2008
SAMEA1016167	2009
SAMEA1016171	2008
SAMEA1016172	2009
SAMEA1016174	2009
SAMEA1016175	2008
SAMEA1016176	2008
SAMEA1016178	2009
SAMEA1016179	2009
SAMEA1016181	2009
SAMEA1016182	2009
SAMEA1016184	2008
SAMEA1016185	2009
SAMEA1016186	2008
SAMEA1016187	2009
SAMEA1016189	2008
SAMEA1016190	2009
SAMEA1016191	2009
SAMEA1016193	2008
SAMEA1016194	2008
SAMEA1016196	2009
SAMEA1016197	2009
SAMEA1016198	2009
SAMEA1016201	2008
SAMEA1016202	2009
SAMEA1018838	2007
SAMEA1018839	2003
SAMEA1018840	2009
SAMEA1018843	2008
SAMEA1018844	2007
SAMEA1018845	2006
SAMEA1018846	2008
SAMEA1018848	2004
SAMEA1018849	2007
SAMEA1018850	1998
SAMEA1018853	2004
SAMEA1018855	2007
SAMEA1018856	2006
SAMEA1018857	2008
SAMEA1018858	2006
SAMEA1018859	2005
SAMEA1018862	2005
SAMEA1018863	2008
SAMEA1018864	2007
SAMEA1018865	2008
SAMEA1018866	2008
SAMEA1018867	2005
SAMEA1018869	2007
SAMEA1018870	2006
SAMEA1018871	2008
SAMEA1018872	2010
SAMEA1018873	2007
SAMEA1018876	2007
SAMEA1018878	2007
SAMEA1018883	2008
SAMEA1018884	2005
SAMEA1018885	2008
SAMEA1018886	2006
SAMEA1018889	2008
SAMEA1018890	2006
SAMEA1018891	2009
SAMEA1018892	2006
SAMEA1018896	2007
SAMEA1018897	2005
SAMEA1018898	2006
SAMEA1018899	2007
SAMEA1018900	2004
SAMEA1018901	2010
SAMEA1018904	2006
SAMEA1018905	2007
SAMEA1018906	2008
SAMEA1018907	2008
SAMEA1018908	2007
SAMEA1018909	2007
SAMEA1018911	2005
SAMEA1018912	2008
SAMEA1018913	2008
SAMEA1018914	2007
SAMEA1018916	2008
SAMEA1018917	2007
SAMEA1018918	2008
SAMEA1018920	2009
SAMEA1018921	2000
SAMEA1018923	2010
SAMEA1018924	2010
SAMEA1018925	2007
SAMEA1018927	2006
SAMEA1018928	2002
SAMEA1018929	2009
SAMEA1018931	2002
SAMEA1018932	2008
SAMEA1018934	2007
SAMEA1018935	2007
SAMEA1018936	2005
SAMEA1018941	2002
SAMEA1018943	2007
SAMEA1018944	2008
SAMEA1018945	2010
SAMEA1018948	2010
SAMEA1018949	2006
SAMEA1018950	2007
SAMEA1018954	2006
SAMEA1018957	2007
SAMEA1018958	2009
SAMEA1018959	2007
SAMEA1018960	2010
SAMEA1018962	2010
SAMEA1018963	2004
SAMEA1018967	2008
SAMEA1018968	2002
SAMEA1018969	2008
SAMEA1018972	2008
SAMEA1018973	2005
SAMEA1018974	2009
SAMEA1018975	2008
SAMEA1018976	2008
SAMEA1018977	2010
SAMEA1018980	2007
SAMEA1018981	2006
SAMEA1018985	2005
SAMEA1018987	2008
SAMEA1018989	2007
SAMEA1018990	2006
SAMEA1018991	2003
SAMEA1018993	2008
SAMEA1018994	2006
SAMEA1018995	2008
SAMEA1018998	2011
SAMEA1018999	2009
SAMEA1019001	2009
SAMEA1019002	2008
SAMEA1019003	2008
SAMEA1019004	2010
SAMEA1019006	2008
SAMEA1019008	2007
SAMEA1019010	2008
SAMEA1019011	2007
SAMEA1019012	2008
SAMEA1019013	2006
SAMEA1019014	2004
SAMEA1019016	2008
SAMEA1019017	2007
SAMEA1019021	2009
SAMEA1019022	2007
SAMEA1019024	2006
SAMEA1019026	2007
SAMEA1019028	1999
SAMEA1019029	2008
SAMEA1019031	2006
SAMEA1019032	2007
SAMEA1019033	2007
SAMEA1019034	2003
SAMEA1019036	2008
SAMEA1019037	2008
SAMEA1019041	2005
SAMEA1019043	2007
SAMEA1019047	2003
SAMEA1019048	2003
SAMEA1019049	2008
SAMEA1019050	2008
SAMEA1019052	2007
SAMEA1019053	2007
SAMEA1019054	2002
SAMEA1019055	2007
SAMEA1019056	2008
SAMEA1019058	2009
SAMEA1019062	2006
SAMEA1019064	2008
SAMEA1019066	2003
SAMEA1019067	2007
SAMEA1019068	2009
SAMEA1019071	2008
SAMEA1019075	2005
SAMEA1019078	2005
SAMEA1019080	2008
SAMEA1019082	2006
SAMEA1019084	2004
SAMEA1019085	2008
SAMEA1019092	2010
SAMEA1019093	2006
SAMEA1019094	2008
SAMEA1019097	2007
SAMEA1019099	2001
SAMEA1019100	2009
SAMEA1019101	2005
SAMEA1019102	2009
SAMEA1019108	2008
SAMEA1019109	2011
SAMEA1019110	2003
SAMEA1019113	2008
SAMEA1019118	2006
SAMEA1019119	2008
SAMEA1019120	2008
SAMEA1019121	2009
SAMEA1019123	2006
SAMEA1019126	2009
SAMEA1019128	2007
SAMEA1019131	2006
SAMEA1019133	2009
SAMEA1019136	2005
SAMEA1019137	1998
SAMEA1019139	2008
SAMEA1019142	2006
SAMEA1019143	2006
SAMEA1019145	2003
SAMEA1019146	2010
SAMEA1019150	2007
SAMEA1019151	2007
SAMEA1019154	2007
SAMEA1019155	2003
SAMEA1019157	2008
SAMEA1019163	2009
SAMEA1019164	2006
SAMEA1019166	2006
SAMEA1019169	2006
SAMEA1019171	2008
SAMEA1019174	2000
SAMEA1019178	2007
SAMEA1019179	2007
SAMEA1019181	2006
SAMEA1019183	2003
SAMEA1019184	2004
SAMEA1019185	2009
SAMEA1019189	2008
SAMEA1019192	2007
SAMEA1019194	2008
SAMEA1019196	2006
SAMEA1019197	1999
SAMEA1019198	2009
SAMEA1019200	2004
SAMEA1019202	2006
SAMEA1019204	2008
SAMEA1019210	2009
SAMEA1019211	2008
SAMEA1019212	2008
SAMEA1019214	2007
SAMEA1019215	2005
SAMEA1019217	2005
SAMEA1019219	2011
SAMEA1019222	2006
SAMEA1019224	2007
SAMEA1019228	2006
SAMEA1019229	2009
SAMEA1019233	2008
SAMEA1019237	2009
SAMEA1019239	2008
SAMEA1019244	2007
SAMEA1019245	2011
SAMEA1019246	2007
SAMEA1019248	2007
SAMEA1019249	2006
SAMEA1019250	2008
SAMEA1019251	2000
SAMEA1019253	1998
SAMEA1019256	2002
SAMEA1019257	2007
SAMEA1019258	2009
SAMEA1019259	2008
SAMEA1019263	2005
SAMEA1019265	2005
SAMEA1019266	2006
SAMEA1019267	2008
SAMEA1019270	2010
SAMEA1019271	2007
SAMEA1019272	2008
SAMEA1019273	2007
SAMEA1019274	2009
SAMEA1019276	2007
SAMEA1019281	2007
SAMEA1019282	2009
SAMEA1019285	2005
SAMEA1019286	2010
SAMEA1019288	2006
SAMEA1019291	2006
SAMEA1019293	2003
SAMEA1019295	2006
SAMEA1019297	2011
SAMEA1019299	2009
SAMEA1019300	2008
SAMEA1019301	2009
SAMEA1019302	2003
SAMEA1019303	2007
SAMEA1019305	2007
SAMEA1019306	2007
SAMEA1019308	2010
SAMEA1019309	2005
SAMEA1019313	2005
SAMEA1019315	2005
SAMEA1019317	2009
SAMEA1019318	2008
SAMEA1019321	1999
SAMEA1019322	2005
SAMEA1019323	2006
SAMEA1019324	2002
SAMEA1019330	2010
SAMEA104027311	1993
SAMEA104679304	2007
SAMEA104679305	2007
SAMEA1317617	2008/2014
SAMEA1317618	2008/2014
SAMEA1317619	2008/2014
SAMEA1317620	2008/2014
SAMEA1317621	2008/2014
SAMEA1317622	2008/2014
SAMEA1317623	2008/2014
SAMEA1317624	2008/2014
SAMEA1317625	2008/2014
SAMEA1317626	2008/2014
SAMEA1317627	2008/2014
SAMEA1317628	2008/2014
SAMEA1317629	2008/2014
SAMEA1317630	2008/2014
SAMEA1317631	2008/2014
SAMEA1317632	2008/2014
SAMEA1317633	2008/2014
SAMEA1317634	2008/2014
SAMEA1317635	2008/2014
SAMEA1317636	2008/2014
SAMEA1317637	2008/2014
SAMEA1317638	2008/2014
SAMEA1317639	2008/2014
SAMEA1317641	2008/2014
SAMEA1317642	2008/2014
SAMEA1317643	2008/2014
SAMEA1317644	2008/2014
SAMEA1317645	2008/2014
SAMEA1317646	2008/2014
SAMEA1317647	2008/2014
SAMEA1317648	2008/2014
SAMEA1317649	2008/2014
SAMEA1317650	2008/2014
SAMEA1317651	2008/2014
SAMEA1317652	2008/2014
SAMEA1317653	2008/2014
SAMEA1317654	2008/2014
SAMEA1317655	2008/2014
SAMEA1317656	2008/2014
SAMEA1317657	2008/2014
SAMEA1317658	2008/2014
SAMEA1317659	2008/2014
SAMEA1317660	2008/2014
SAMEA1317661	2008/2014
SAMEA1317662	2008/2014
SAMEA1317663	2008/2014
SAMEA1317664	2008/2014
SAMEA1317665	2008/2014
SAMEA1317666	2008/2014
SAMEA1317667	2008/2014
SAMEA1317668	2008/2014
SAMEA1317669	2008/2014
SAMEA1317670	2008/2014
