BioSample	country
SAMN02567761	Uganda
SAMN02567762	Uganda
SAMN02567763	Uganda
SAMN02567764	Uganda
SAMN02567765	Uganda
SAMN02567766	Uganda
SAMN02567767	Uganda
SAMD00000334	Japan
SAMD00065354	Japan
SAMD00076256	Viet Nam
SAMD00076257	Viet Nam
SAMD00076258	Viet Nam
SAMD00076259	Viet Nam
SAMD00322307	Japan
SAMEA1015921	Russia
SAMEA1015922	Russia
SAMEA1015923	Russia
SAMEA1015927	Russia
SAMEA1015929	Russia
SAMEA1015931	Russia
SAMEA1015932	Russia
SAMEA1015933	Russia
SAMEA1015935	Russia
SAMEA1015936	Russia
SAMEA1015937	Russia
SAMEA1015939	Russia
SAMEA1015940	Russia
SAMEA1015941	Russia
SAMEA1015942	Russia
SAMEA1015943	Russia
SAMEA1015944	Russia
SAMEA1015949	Russia
SAMEA1015951	Russia
SAMEA1015954	Russia
SAMEA1015957	Russia
SAMEA1015958	Russia
SAMEA1015959	Russia
SAMEA1015960	Russia
SAMEA1015961	Russia
SAMEA1015962	Russia
SAMEA1015968	Russia
SAMEA1015969	Russia
SAMEA1015973	Russia
SAMEA1015975	Russia
SAMEA1015977	Russia
SAMEA1015978	Russia
SAMEA1015979	Russia
SAMEA1015980	Russia
SAMEA1015981	United Kingdom
SAMEA1015982	Russia
SAMEA1015985	Russia
SAMEA1015986	Russia
SAMEA1015987	Russia
SAMEA1015988	Russia
SAMEA1015989	Russia
SAMEA1015990	Russia
SAMEA1015991	Russia
SAMEA1015995	Russia
SAMEA1015996	Russia
SAMEA1015997	Russia
SAMEA1015998	Russia
SAMEA1016000	Russia
SAMEA1016002	Russia
SAMEA1016004	Russia
SAMEA1016005	Russia
SAMEA1016006	Russia
SAMEA1016007	Russia
SAMEA1016008	Russia
SAMEA1016010	Russia
SAMEA1016011	Russia
SAMEA1016013	Russia
SAMEA1016014	Russia
SAMEA1016015	Russia
SAMEA1016016	United Kingdom
SAMEA1016018	Russia
SAMEA1016019	Russia
SAMEA1016021	Russia
SAMEA1016023	Russia
SAMEA1016024	Russia
SAMEA1016025	Russia
SAMEA1016026	Russia
SAMEA1016028	Russia
SAMEA1016029	Russia
SAMEA1016030	Russia
SAMEA1016033	Russia
SAMEA1016034	Russia
SAMEA1016037	Russia
SAMEA1016038	Russia
SAMEA1016039	Russia
SAMEA1016042	Russia
SAMEA1016043	Russia
SAMEA1016044	Russia
SAMEA1016045	Russia
SAMEA1016047	Russia
SAMEA1016051	Russia
SAMEA1016052	Russia
SAMEA1016053	Russia
SAMEA1016054	Russia
SAMEA1016055	Russia
SAMEA1016060	Russia
SAMEA1016061	Russia
SAMEA1016062	Russia
SAMEA1016063	Russia
SAMEA1016066	Russia
SAMEA1016067	Russia
SAMEA1016068	Russia
SAMEA1016071	Russia
SAMEA1016072	Russia
SAMEA1016073	Russia
SAMEA1016074	Russia
SAMEA1016075	Russia
SAMEA1016077	Russia
SAMEA1016078	Russia
SAMEA1016080	Russia
SAMEA1016081	Russia
SAMEA1016082	Russia
SAMEA1016083	Russia
SAMEA1016084	Russia
SAMEA1016086	Russia
SAMEA1016087	Russia
SAMEA1016088	Russia
SAMEA1016089	Russia
SAMEA1016090	Russia
SAMEA1016091	Russia
SAMEA1016093	Russia
SAMEA1016096	Russia
SAMEA1016097	Russia
SAMEA1016098	Russia
SAMEA1016099	Russia
SAMEA1016100	Russia
SAMEA1016101	Russia
SAMEA1016103	Russia
SAMEA1016104	Russia
SAMEA1016105	Russia
SAMEA1016109	Russia
SAMEA1016111	Russia
SAMEA1016112	Russia
SAMEA1016113	Russia
SAMEA1016114	Russia
SAMEA1016117	Russia
SAMEA1016118	Russia
SAMEA1016120	Russia
SAMEA1016122	Russia
SAMEA1016123	Russia
SAMEA1016124	Russia
SAMEA1016126	Russia
SAMEA1016127	Russia
SAMEA1016128	Russia
SAMEA1016129	Russia
SAMEA1016130	Russia
SAMEA1016134	Russia
SAMEA1016137	Russia
SAMEA1016138	United Kingdom
SAMEA1016139	Russia
SAMEA1016140	Russia
SAMEA1016142	Russia
SAMEA1016143	Russia
SAMEA1016144	Russia
SAMEA1016145	Russia
SAMEA1016146	Russia
SAMEA1016147	Russia
SAMEA1016148	Russia
SAMEA1016151	Russia
SAMEA1016152	Russia
SAMEA1016157	United Kingdom
SAMEA1016158	Russia
SAMEA1016159	Russia
SAMEA1016160	Russia
SAMEA1016161	Russia
SAMEA1016162	Russia
SAMEA1016163	Russia
SAMEA1016165	Russia
SAMEA1016166	Russia
SAMEA1016167	Russia
SAMEA1016171	Russia
SAMEA1016172	Russia
SAMEA1016174	Russia
SAMEA1016175	Russia
SAMEA1016176	Russia
SAMEA1016178	Russia
