BioSample	host_disease
SAMD00076256	Pulmonary Tuberculosis
SAMD00076257	Pulmonary Tuberculosis
SAMD00076258	Pulmonary Tuberculosis
SAMD00076259	Pulmonary Tuberculosis
SAMN02316561	Tuberculosis
SAMN02318534	Tuberculosis
SAMN02595073	Tuberculosis
SAMN02688394	Mycobacterium tuberculosis
SAMN02713587	Pulmonary Tuberculosis
SAMN02731427	Tuberculosis meningitis
SAMN02767600	Tuberculosis
SAMN02777350	disseminated BCGitis
SAMN02797826	Mycobacterium tuberculosis
SAMN02819975	Tuberculosis
SAMN02819976	Tuberculosis
SAMN02819977	Tuberculosis
SAMN02819978	Tuberculosis
SAMN02820311	Tuberculosis
SAMN02848645	Tuberculosis
SAMN02864173	Tuberculosis
SAMN02874015	Tuberculosis
SAMN02887314	Tuberculosis
SAMN02899098	Bovine Tuberculosis
SAMN02899231	Bovine Tuberculosis
SAMN02899232	Bovine Tuberculosis
SAMN02902634	Bovine Tuberculosis
SAMN02902635	Bovine Tuberculosis
SAMN02902636	Bovine Tuberculosis
SAMN02902637	Bovine Tuberculosis
SAMN02902638	Bovine Tuberculosis
SAMN02902639	Bovine Tuberculosis
SAMN02902640	Bovine Tuberculosis
SAMN02902641	Bovine Tuberculosis
SAMN02902642	Bovine Tuberculosis
SAMN02902643	Bovine Tuberculosis
SAMN02902644	Bovine Tuberculosis
SAMN02902645	Bovine Tuberculosis
SAMN03002394	Tuberculosis
SAMN03175163	Tuberculosis
SAMN03177465	Tuberculosis
SAMN03177466	Tuberculosis
SAMN03177469	Tuberculosis
SAMN03177470	Tuberculosis
SAMN03177471	Tuberculosis
SAMN03177473	Tuberculosis
SAMN03177474	Tuberculosis
SAMN03177475	Tuberculosis
SAMN03177477	Tuberculosis
SAMN03177478	Tuberculosis
SAMN03177480	Tuberculosis
SAMN03177481	Tuberculosis
SAMN03177483	Tuberculosis
SAMN03177484	Tuberculosis
SAMN03177485	Tuberculosis
SAMN03177486	Tuberculosis
SAMN03177487	Tuberculosis
SAMN03177488	Tuberculosis
SAMN03177489	Tuberculosis
SAMN03177490	Tuberculosis
SAMN03177491	Tuberculosis
SAMN03177492	Tuberculosis
SAMN03177493	Tuberculosis
SAMN03177494	Tuberculosis
SAMN03177495	Tuberculosis
SAMN03177496	Tuberculosis
SAMN03177497	Tuberculosis
SAMN03196604	Tuberculosis
SAMN03265108	Tuberculosis
SAMN03267964	Tuberculosis
SAMN03272559	Tuberculosis
SAMN03288261	Tuberculosis
SAMN03290670	Tuberculosis
