BioSample	host_species
SAMN02567761	Pan troglodytes
SAMN02567762	Homo sapiens
SAMN02567763	Homo sapiens
SAMN02567764	Homo sapiens
SAMN02567765	Homo sapiens
SAMN02567766	Homo sapiens
SAMN02567767	Homo sapiens
SAMD00000334	Homo sapiens
SAMD00065354	Homo sapiens
SAMD00076256	Homo sapiens
SAMD00076257	Homo sapiens
SAMD00076258	Homo sapiens
SAMD00076259	Homo sapiens
SAMEA1015921	Homo sapiens
SAMEA1015922	Homo sapiens
SAMEA1015923	Homo sapiens
SAMEA1015927	Homo sapiens
SAMEA1015929	Homo sapiens
SAMEA1015931	Homo sapiens
SAMEA1015932	Homo sapiens
SAMEA1015933	Homo sapiens
SAMEA1015935	Homo sapiens
SAMEA1015936	Homo sapiens
SAMEA1015937	Homo sapiens
SAMEA1015939	Homo sapiens
SAMEA1015940	Homo sapiens
SAMEA1015941	Homo sapiens
SAMEA1015942	Homo sapiens
SAMEA1015943	Homo sapiens
SAMEA1015944	Homo sapiens
SAMEA1015949	Homo sapiens
SAMEA1015951	Homo sapiens
SAMEA1015954	Homo sapiens
SAMEA1015957	Homo sapiens
SAMEA1015958	Homo sapiens
SAMEA1015959	Homo sapiens
SAMEA1015960	Homo sapiens
SAMEA1015961	Homo sapiens
SAMEA1015962	Homo sapiens
SAMEA1015968	Homo sapiens
SAMEA1015969	Homo sapiens
SAMEA1015973	Homo sapiens
SAMEA1015975	Homo sapiens
SAMEA1015977	Homo sapiens
SAMEA1015978	Homo sapiens
SAMEA1015979	Homo sapiens
SAMEA1015980	Homo sapiens
SAMEA1015981	Homo sapiens
SAMEA1015982	Homo sapiens
SAMEA1015985	Homo sapiens
SAMEA1015986	Homo sapiens
SAMEA1015987	Homo sapiens
SAMEA1015988	Homo sapiens
SAMEA1015989	Homo sapiens
SAMEA1015990	Homo sapiens
SAMEA1015991	Homo sapiens
SAMEA1015995	Homo sapiens
SAMEA1015996	Homo sapiens
SAMEA1015997	Homo sapiens
SAMEA1015998	Homo sapiens
SAMEA1016000	Homo sapiens
SAMEA1016002	Homo sapiens
SAMEA1016004	Homo sapiens
SAMEA1016005	Homo sapiens
SAMEA1016006	Homo sapiens
SAMEA1016007	Homo sapiens
SAMEA1016008	Homo sapiens
SAMEA1016010	Homo sapiens
SAMEA1016011	Homo sapiens
SAMEA1016013	Homo sapiens
SAMEA1016014	Homo sapiens
SAMEA1016015	Homo sapiens
SAMEA1016016	Homo sapiens
SAMEA1016018	Homo sapiens
SAMEA1016019	Homo sapiens
SAMEA1016021	Homo sapiens
SAMEA1016023	Homo sapiens
SAMEA1016024	Homo sapiens
SAMEA1016025	Homo sapiens
SAMEA1016026	Homo sapiens
SAMEA1016028	Homo sapiens
SAMEA1016029	Homo sapiens
SAMEA1016030	Homo sapiens
SAMEA1016033	Homo sapiens
SAMEA1016034	Homo sapiens
SAMEA1016037	Homo sapiens
SAMEA1016038	Homo sapiens
SAMEA1016039	Homo sapiens
SAMEA1016042	Homo sapiens
SAMEA1016043	Homo sapiens
SAMEA1016044	Homo sapiens
SAMEA1016045	Homo sapiens
SAMEA1016047	Homo sapiens
SAMEA1016051	Homo sapiens
SAMEA1016052	Homo sapiens
SAMEA1016053	Homo sapiens
SAMEA1016054	Homo sapiens
SAMEA1016055	Homo sapiens
SAMEA1016060	Homo sapiens
SAMEA1016061	Homo sapiens
SAMEA1016062	Homo sapiens
SAMEA1016063	Homo sapiens
SAMEA1016066	Homo sapiens
SAMEA1016067	Homo sapiens
SAMEA1016068	Homo sapiens
SAMEA1016071	Homo sapiens
SAMEA1016072	Homo sapiens
SAMEA1016073	Homo sapiens
SAMEA1016074	Homo sapiens
SAMEA1016075	Homo sapiens
SAMEA1016077	Homo sapiens
SAMEA1016078	Homo sapiens
SAMEA1016080	Homo sapiens
SAMEA1016081	Homo sapiens
SAMEA1016082	Homo sapiens
SAMEA1016083	Homo sapiens
SAMEA1016084	Homo sapiens
SAMEA1016086	Homo sapiens
SAMEA1016087	Homo sapiens
SAMEA1016088	Homo sapiens
SAMEA1016089	Homo sapiens
SAMEA1016090	Homo sapiens
SAMEA1016091	Homo sapiens
SAMEA1016093	Homo sapiens
SAMEA1016096	Homo sapiens
SAMEA1016097	Homo sapiens
SAMEA1016098	Homo sapiens
SAMEA1016099	Homo sapiens
SAMEA1016100	Homo sapiens
SAMEA1016101	Homo sapiens
SAMEA1016103	Homo sapiens
SAMEA1016104	Homo sapiens
SAMEA1016105	Homo sapiens
SAMEA1016109	Homo sapiens
SAMEA1016111	Homo sapiens
SAMEA1016112	Homo sapiens
SAMEA1016113	Homo sapiens
SAMEA1016114	Homo sapiens
SAMEA1016117	Homo sapiens
SAMEA1016118	Homo sapiens
SAMEA1016120	Homo sapiens
SAMEA1016122	Homo sapiens
SAMEA1016123	Homo sapiens
SAMEA1016124	Homo sapiens
SAMEA1016126	Homo sapiens
SAMEA1016127	Homo sapiens
SAMEA1016128	Homo sapiens
SAMEA1016129	Homo sapiens
SAMEA1016130	Homo sapiens
SAMEA1016134	Homo sapiens
SAMEA1016137	Homo sapiens
SAMEA1016138	Homo sapiens
SAMEA1016139	Homo sapiens
SAMEA1016140	Homo sapiens
SAMEA1016142	Homo sapiens
SAMEA1016143	Homo sapiens
SAMEA1016144	Homo sapiens
SAMEA1016145	Homo sapiens
SAMEA1016146	Homo sapiens
SAMEA1016147	Homo sapiens
SAMEA1016148	Homo sapiens
SAMEA1016151	Homo sapiens
SAMEA1016152	Homo sapiens
SAMEA1016157	Homo sapiens
SAMEA1016158	Homo sapiens
SAMEA1016159	Homo sapiens
SAMEA1016160	Homo sapiens
SAMEA1016161	Homo sapiens
SAMEA1016162	Homo sapiens
SAMEA1016163	Homo sapiens
SAMEA1016165	Homo sapiens
SAMEA1016166	Homo sapiens
SAMEA1016167	Homo sapiens
SAMEA1016171	Homo sapiens
SAMEA1016172	Homo sapiens
SAMEA1016174	Homo sapiens
SAMEA1016175	Homo sapiens
SAMEA1016176	Homo sapiens
SAMEA1016178	Homo sapiens
SAMEA1016179	Homo sapiens
SAMEA1016181	Homo sapiens
SAMEA1016182	Homo sapiens
SAMEA1016184	Homo sapiens
SAMEA1016185	Homo sapiens
SAMEA1016186	Homo sapiens
SAMEA1016187	Homo sapiens
SAMEA1016189	Homo sapiens
SAMEA1016190	Homo sapiens
SAMEA1016191	Homo sapiens
SAMEA1016193	Homo sapiens
SAMEA1016194	Homo sapiens
SAMEA1016196	Homo sapiens
SAMEA1016197	Homo sapiens
SAMEA1016198	Homo sapiens
SAMEA1016201	Homo sapiens
SAMEA1016202	Homo sapiens
SAMEA1018838	Homo sapiens
SAMEA1018839	Homo sapiens
SAMEA1018840	Homo sapiens
SAMEA1018843	Homo sapiens
SAMEA1018844	Homo sapiens
SAMEA1018845	Homo sapiens
SAMEA1018846	Homo sapiens
SAMEA1018848	Homo sapiens
SAMEA1018849	Homo sapiens
SAMEA1018850	Homo sapiens
SAMEA1018853	Homo sapiens
SAMEA1018855	Homo sapiens
SAMEA1018856	Homo sapiens
SAMEA1018857	Homo sapiens
SAMEA1018858	Homo sapiens
SAMEA1018859	Homo sapiens
SAMEA1018862	Homo sapiens
SAMEA1018863	Homo sapiens
SAMEA1018864	Homo sapiens
SAMEA1018865	Homo sapiens
SAMEA1018866	Homo sapiens
SAMEA1018867	Homo sapiens
SAMEA1018869	Homo sapiens
SAMEA1018870	Homo sapiens
SAMEA1018871	Homo sapiens
SAMEA1018872	Homo sapiens
SAMEA1018873	Homo sapiens
SAMEA1018876	Homo sapiens
SAMEA1018878	Homo sapiens
SAMEA1018883	Homo sapiens
SAMEA1018884	Homo sapiens
SAMEA1018885	Homo sapiens
SAMEA1018886	Homo sapiens
SAMEA1018889	Homo sapiens
SAMEA1018890	Homo sapiens
SAMEA1018891	Homo sapiens
SAMEA1018892	Homo sapiens
SAMEA1018896	Homo sapiens
SAMEA1018897	Homo sapiens
SAMEA1018898	Homo sapiens
SAMEA1018899	Homo sapiens
SAMEA1018900	Homo sapiens
SAMEA1018901	Homo sapiens
SAMEA1018904	Homo sapiens
SAMEA1018905	Homo sapiens
SAMEA1018906	Homo sapiens
SAMEA1018907	Homo sapiens
SAMEA1018908	Homo sapiens
SAMEA1018909	Homo sapiens
SAMEA1018911	Homo sapiens
SAMEA1018912	Homo sapiens
SAMEA1018913	Homo sapiens
SAMEA1018914	Homo sapiens
SAMEA1018916	Homo sapiens
SAMEA1018917	Homo sapiens
SAMEA1018918	Homo sapiens
SAMEA1018920	Homo sapiens
SAMEA1018921	Homo sapiens
SAMEA1018923	Homo sapiens
SAMEA1018924	Homo sapiens
SAMEA1018925	Homo sapiens
SAMEA1018927	Homo sapiens
SAMEA1018928	Homo sapiens
SAMEA1018929	Homo sapiens
SAMEA1018931	Homo sapiens
SAMEA1018932	Homo sapiens
SAMEA1018934	Homo sapiens
SAMEA1018935	Homo sapiens
SAMEA1018936	Homo sapiens
SAMEA1018941	Homo sapiens
SAMEA1018943	Homo sapiens
SAMEA1018944	Homo sapiens
SAMEA1018945	Homo sapiens
SAMEA1018948	Homo sapiens
SAMEA1018949	Homo sapiens
SAMEA1018950	Homo sapiens
SAMEA1018954	Homo sapiens
SAMEA1018957	Homo sapiens
SAMEA1018958	Homo sapiens
SAMEA1018959	Homo sapiens
SAMEA1018960	Homo sapiens
SAMEA1018962	Homo sapiens
SAMEA1018963	Homo sapiens
SAMEA1018967	Homo sapiens
SAMEA1018968	Homo sapiens
SAMEA1018969	Homo sapiens
SAMEA1018972	Homo sapiens
SAMEA1018973	Homo sapiens
SAMEA1018974	Homo sapiens
SAMEA1018975	Homo sapiens
SAMEA1018976	Homo sapiens
SAMEA1018977	Homo sapiens
SAMEA1018980	Homo sapiens
SAMEA1018981	Homo sapiens
SAMEA1018985	Homo sapiens
SAMEA1018987	Homo sapiens
SAMEA1018989	Homo sapiens
SAMEA1018990	Homo sapiens
SAMEA1018991	Homo sapiens
SAMEA1018993	Homo sapiens
SAMEA1018994	Homo sapiens
SAMEA1018995	Homo sapiens
SAMEA1018998	Homo sapiens
SAMEA1018999	Homo sapiens
SAMEA1019001	Homo sapiens
SAMEA1019002	Homo sapiens
SAMEA1019003	Homo sapiens
SAMEA1019004	Homo sapiens
SAMEA1019006	Homo sapiens
SAMEA1019008	Homo sapiens
SAMEA1019010	Homo sapiens
SAMEA1019011	Homo sapiens
SAMEA1019012	Homo sapiens
SAMEA1019013	Homo sapiens
SAMEA1019014	Homo sapiens
SAMEA1019016	Homo sapiens
SAMEA1019017	Homo sapiens
SAMEA1019021	Homo sapiens
SAMEA1019022	Homo sapiens
SAMEA1019024	Homo sapiens
SAMEA1019026	Homo sapiens
SAMEA1019028	Homo sapiens
SAMEA1019029	Homo sapiens
SAMEA1019031	Homo sapiens
SAMEA1019032	Homo sapiens
SAMEA1019033	Homo sapiens
SAMEA1019034	Homo sapiens
SAMEA1019036	Homo sapiens
SAMEA1019037	Homo sapiens
SAMEA1019041	Homo sapiens
SAMEA1019043	Homo sapiens
SAMEA1019047	Homo sapiens
SAMEA1019048	Homo sapiens
SAMEA1019049	Homo sapiens
SAMEA1019050	Homo sapiens
SAMEA1019052	Homo sapiens
SAMEA1019053	Homo sapiens
SAMEA1019054	Homo sapiens
