BioSample	host_tissue_sampled
SAMN02567761	Bronchial wash
SAMN02567762	Sputum
SAMN02567763	Pleural fluid
SAMN02567765	Sputum
SAMN02567766	Sputum
SAMN02567767	Sputum
SAMD00000334	Sputum
SAMD00076256	Sputum
SAMD00076257	Sputum
SAMD00076258	Sputum
SAMD00076259	Sputum
SAMEA104027311	Sputum
SAMEA1317617	Sputum
SAMEA1317618	Sputum
SAMEA1317619	Sputum
SAMEA1317620	Sputum
SAMEA1317621	Sputum
SAMEA1317622	Sputum
SAMEA1317623	Sputum
SAMEA1317624	Sputum
SAMEA1317625	Sputum
SAMEA1317626	Sputum
SAMEA1317627	Sputum
SAMEA1317628	Sputum
SAMEA1317629	Sputum
SAMEA1317630	Sputum
SAMEA1317631	Sputum
SAMEA1317632	Sputum
SAMEA1317633	Sputum
SAMEA1317634	Sputum
SAMEA1317635	Sputum
SAMEA1317636	Sputum
SAMEA1317637	Sputum
SAMEA1317638	Sputum
SAMEA1317639	Sputum
SAMEA1317641	Sputum
SAMEA1317642	Sputum
SAMEA1317643	Sputum
SAMEA1317644	Sputum
SAMEA1317645	Sputum
SAMEA1317646	Sputum
SAMEA1317647	Sputum
SAMEA1317648	Sputum
SAMEA1317649	Sputum
SAMEA1317650	Sputum
SAMEA1317651	Sputum
SAMEA1317652	Sputum
SAMEA1317653	Sputum
SAMEA1317654	Sputum
SAMEA1317655	Sputum
SAMEA1317656	Sputum
SAMEA1317657	Sputum
SAMEA1317658	Sputum
SAMEA1317659	Sputum
SAMEA1317660	Sputum
SAMEA1317661	Sputum
SAMEA1317662	Sputum
SAMEA1317663	Sputum
SAMEA1317664	Sputum
SAMEA1317665	Sputum
SAMEA1317666	Sputum
SAMEA1317667	Sputum
SAMEA1317668	Sputum
SAMEA1317669	Sputum
SAMEA1317670	Sputum
SAMEA1317671	Sputum
SAMEA1317672	Sputum
SAMEA1317673	Sputum
SAMEA1317674	Sputum
SAMEA1317675	Sputum
SAMEA1317676	Sputum
SAMEA1317677	Sputum
SAMEA1317678	Sputum
SAMEA13188682	Sputum
SAMEA13188685	Sputum
SAMEA13188688	Sputum
SAMEA13188689	Sputum
SAMEA13188715	Sputum
SAMEA13188731	Sputum
SAMEA1523352	Sputum
SAMEA1523353	Sputum
SAMEA1523354	Sputum
SAMEA1523355	Sputum
SAMEA1523356	Sputum
SAMEA1523357	Sputum
SAMEA1523358	Sputum
SAMEA1523359	Sputum
SAMEA1523360	Sputum
SAMEA1523361	Sputum
SAMEA1523362	Sputum
SAMEA1523363	Sputum
SAMEA1523364	Sputum
