BioSample	latitude
SAMD00000334	35.6455
SAMD00065354	34.8
SAMN02688394	22.67
SAMN02713587	41.43
SAMN02731427	21.08
SAMN02767600	37.19
SAMN02797826	22.67
SAMN02797828	22.67
SAMN02820311	15
SAMN02848645	13.060407
SAMN02874015	14.4
SAMN02887314	39.9167
SAMN02943514	24
SAMN02943515	24
SAMN03002394	13.060407
SAMN03175163	35.13
SAMN03177465	35.13
SAMN03177466	35.13
SAMN03177469	35.13
SAMN03177470	35.13
SAMN03177471	35.13
SAMN03177473	35.13
SAMN03177474	35.13
SAMN03177475	35.13
SAMN03177477	35.13
SAMN03177478	35.13
SAMN03177480	35.13
SAMN03177481	35.13
SAMN03177483	35.13
SAMN03177484	35.13
SAMN03177485	35.13
SAMN03177486	35.13
SAMN03177487	35.13
SAMN03177488	35.13
SAMN03177489	35.13
SAMN03177490	35.13
SAMN03177491	35.13
SAMN03177492	35.13
SAMN03177493	35.13
SAMN03177494	35.13
SAMN03177495	35.13
SAMN03177496	35.13
SAMN03177497	35.13
SAMN03196604	35.13
SAMN03265108	14.016667
SAMN03267964	25.40
SAMN03272559	55.28
SAMN03288261	19
SAMN03290670	38.1
SAMN03290698	3.1357
SAMN03290700	3.1357
SAMN03338741	3.17
SAMN03338742	3.17
SAMN03338743	3.17
SAMN03338744	3.17
SAMN03372109	36.856285
SAMN03460429	55.45
SAMN03496755	55.45
SAMN03776961	34.3306
SAMN03793145	15
SAMN03793146	15
SAMN03793151	15
SAMN03840761	15
SAMN03921880	48.00
SAMN03941250	23.4879
SAMN04023334	31.568
SAMN04241384	36.6009642
SAMN04479830	6.2339
SAMN04491053	6.2339
SAMN04492771	6.10041
SAMN04492779	3.1333
SAMN04492780	3.1333
SAMN04492781	3.1333
SAMN04492782	3.1333
SAMN04492783	3.1333
SAMN04492784	3.1333
SAMN04492785	3.1333
SAMN04492786	3.1333
SAMN04492787	3.1333
SAMN04492789	3.1333
SAMN04492790	3.1333
SAMN04492791	3.1333
SAMN04492792	3.1333
SAMN04492793	3.1333
SAMN04517448	14.0371
SAMN04550924	52.18
SAMN04595071	34.6379
SAMN04595072	34.6379
SAMN04599205	21.45306863
SAMN05001334	36.8485
SAMN05187972	21.45306863
SAMN05447655	49.85
SAMN05447658	49.85
SAMN05791985	55.66
SAMN05791986	38.98
SAMN05791987	38.98
SAMN05792585	12
SAMN05825228	12
SAMN05830624	12
SAMN05830709	12
SAMN05830710	12
SAMN05830711	12
SAMN05915249	12
SAMN05915250	12
SAMN05915251	12
SAMN05915252	12
SAMN05915253	12
SAMN05915254	12
SAMN05915255	12
SAMN05915256	12
SAMN05915257	12
SAMN05915258	12
SAMN05915259	12
SAMN05915260	12
SAMN05915261	12
SAMN05915262	12
SAMN05915263	12
SAMN05915264	12
SAMN05915265	12
SAMN05915266	12
SAMN05915267	12
SAMN05915268	12
SAMN05915269	12
SAMN05915270	12
SAMN05915271	12
SAMN05915272	12
SAMN05915273	12
SAMN05915274	12
SAMN05915275	12
SAMN05915276	12
SAMN05915277	12
SAMN05915278	12
SAMN05915279	12
SAMN05915280	12
SAMN05915281	12
SAMN05915282	12
SAMN05915283	12
SAMN05915284	12
SAMN05915285	12
SAMN05915286	12
SAMN05915287	12
SAMN05915288	12
SAMN05915289	12
SAMN05915290	12
SAMN05915291	12
SAMN05915292	12
SAMN05915293	12
SAMN05916217	12
SAMN05916218	12
SAMN05916219	12
SAMN05916220	12
SAMN05916221	12
SAMN05916222	12
SAMN05916223	12
SAMN05916224	12
SAMN05916225	12
SAMN05916226	12
SAMN05916227	12
SAMN05916228	12
SAMN05916229	12
SAMN05916230	12
SAMN05916231	12
SAMN05916232	12
SAMN05916233	12
SAMN05916234	12
SAMN05916235	12
SAMN05916236	12
SAMN05916237	12
SAMN05916238	12
SAMN05916239	12
SAMN05916240	12
SAMN05916241	12
