BioSample	longitude
SAMD00000334	139.7262
SAMD00065354	135.8
SAMN02688394	120.32
SAMN02713587	44.47
SAMN02731427	79.98
SAMN02767600	126.49
SAMN02797826	120.32
SAMN02797828	120.32
SAMN02820311	100
SAMN02848645	80.249562
SAMN02874015	121.03
SAMN02887314	116.65
SAMN02943514	106
SAMN02943515	106
SAMN03002394	80.249562
SAMN03175163	128.40
SAMN03177465	128.40
SAMN03177466	128.40
SAMN03177469	128.40
SAMN03177470	128.40
SAMN03177471	128.40
SAMN03177473	128.40
SAMN03177474	128.40
SAMN03177475	128.40
SAMN03177477	128.40
SAMN03177478	128.40
SAMN03177480	128.40
SAMN03177481	128.40
SAMN03177483	128.40
SAMN03177484	128.40
SAMN03177485	128.40
SAMN03177486	128.40
SAMN03177487	128.40
SAMN03177488	128.40
SAMN03177489	128.40
SAMN03177490	128.40
SAMN03177491	128.40
SAMN03177492	128.40
SAMN03177493	128.40
SAMN03177494	128.40
SAMN03177495	128.40
SAMN03177496	128.40
SAMN03177497	128.40
SAMN03196604	128.40
SAMN03265108	99.516670
SAMN03267964	100.18
SAMN03272559	65.21
SAMN03288261	44
SAMN03290670	127.26
SAMN03290698	101.6880
SAMN03290700	101.6880
SAMN03338741	101.7
SAMN03338742	101.7
SAMN03338743	101.7
SAMN03338744	101.7
SAMN03372109	174.770465
SAMN03460429	37.37
SAMN03496755	37.37
SAMN03776961	56.7205
SAMN03793145	100
SAMN03793146	100
SAMN03793151	100
SAMN03840761	100
SAMN03921880	68.00
SAMN03941250	120.5064
SAMN04023334	120.299
SAMN04241384	126.52161180
SAMN04479830	75.57310000
SAMN04491053	75.57310000
SAMN04492771	102.28492000
SAMN04492779	101.7000
SAMN04492780	101.7000
SAMN04492781	101.7000
SAMN04492782	101.7000
SAMN04492783	101.7000
SAMN04492784	101.7000
SAMN04492785	101.7000
SAMN04492786	101.7000
SAMN04492787	101.7000
SAMN04492789	101.7000
SAMN04492790	101.7000
SAMN04492791	101.7000
SAMN04492792	101.7000
SAMN04492793	101.7000
SAMN04517448	101.156
SAMN04550924	104.17000000
SAMN04595071	58.3931
SAMN04595072	58.3931
SAMN04599205	96.6796875
SAMN05001334	174.76329999
SAMN05187972	96.6796875
SAMN05447655	73.01600000
SAMN05447658	73.01600000
SAMN05791985	12.59
SAMN05791986	77.09
SAMN05791987	77.09
SAMN05792585	77
SAMN05825228	77
SAMN05830624	77
SAMN05830709	77
SAMN05830710	77
SAMN05830711	77
SAMN05915249	77
SAMN05915250	77
SAMN05915251	77
SAMN05915252	77
SAMN05915253	77
SAMN05915254	77
SAMN05915255	77
SAMN05915256	77
SAMN05915257	77
SAMN05915258	77
SAMN05915259	77
SAMN05915260	77
SAMN05915261	77
SAMN05915262	77
SAMN05915263	77
SAMN05915264	77
SAMN05915265	77
SAMN05915266	77
SAMN05915267	77
SAMN05915268	77
SAMN05915269	77
SAMN05915270	77
SAMN05915271	77
SAMN05915272	77
SAMN05915273	77
SAMN05915274	77
SAMN05915275	77
SAMN05915276	77
SAMN05915277	77
SAMN05915278	77
SAMN05915279	77
SAMN05915280	77
SAMN05915281	77
SAMN05915282	77
SAMN05915283	77
SAMN05915284	77
SAMN05915285	77
SAMN05915286	77
SAMN05915287	77
SAMN05915288	77
SAMN05915289	77
SAMN05915290	77
SAMN05915291	77
SAMN05915292	77
SAMN05915293	77
SAMN05916217	77
SAMN05916218	77
SAMN05916219	77
SAMN05916220	77
SAMN05916221	77
SAMN05916222	77
SAMN05916223	77
SAMN05916224	77
SAMN05916225	77
SAMN05916226	77
SAMN05916227	77
SAMN05916228	77
SAMN05916229	77
SAMN05916230	77
SAMN05916231	77
SAMN05916232	77
SAMN05916233	77
SAMN05916234	77
SAMN05916235	77
SAMN05916236	77
SAMN05916237	77
SAMN05916238	77
SAMN05916239	77
SAMN05916240	77
SAMN05916241	77
SAMN05916242	77
SAMN05916243	77
SAMN05916244	77
SAMN05916245	77
SAMN05916246	77
SAMN05916247	77
SAMN05916248	77
SAMN05916249	77
SAMN05916250	77
SAMN05916251	77
SAMN05916252	77
SAMN05916253	77
SAMN05916254	77
SAMN05916255	77
SAMN05916256	77
SAMN05916257	77
SAMN05916258	77
SAMN05916259	77
SAMN05916260	77
SAMN05916261	77
SAMN05916262	77
SAMN05916263	77
SAMN05916264	77
