BioSample	region
SAMD00000334	Tokyo
SAMN02316561	La Pampa
SAMN03460429	Moscow
SAMN04491053	Medellin
SAMN05833359	Bogota
SAMN06141171	Aarhus
SAMN07312468	VA
SAMN07664838	Lima
SAMN07709478	Uttar Pradesh
SAMN08205014	New York
SAMN08205015	New York
SAMN08205016	New York
SAMN08205017	New York
SAMN08205018	New York
SAMN08205019	New York
SAMN08205020	New York
SAMN08205021	New York
SAMN08321029	MB
SAMN08321034	ON
SAMN08321035	ON
SAMN08321046	BC
SAMN09229031	Beijing
SAMN09229032	Beijing
SAMN10386492	Astana
SAMN10386493	Astana
SAMN10386494	Astana
SAMN10386495	Astana
SAMN10386496	Astana
SAMN10386497	Astana
SAMN10386498	Astana
SAMN11056465	VA
SAMN11056466	VA
SAMN11056471	VA
SAMN11056472	VA
SAMN11523165	Antioquia
SAMN11554257	Antioquia
SAMN11554259	Antioquia
SAMN11554260	Antioquia
SAMN11554261	Antioquia
SAMN11554262	Antioquia
SAMN12126281	Quebec,Nunavik
SAMN12388335	Sao Paulo
SAMN12537184	NY
SAMN12537185	NY
SAMN12537186	Ottawa
SAMN12537187	Ottawa
SAMN12537188	Ottawa
SAMN14299286	Astana
SAMN14299287	Astana
SAMN14598146	Minsk
SAMN17832565	Minsk
SAMN18264921	Colorado
SAMN23441947	Omsk
SAMN27028218	Jiangsu
SAMN27028219	Jiangsu
SAMN27028220	Jiangsu
SAMN27028221	Jiangsu
