BioSample	collection_date	country	host_species	drug_resistance
SAMN02470833	1999	Russia	Homo sapiens	multidrug-resistant
SAMN02471043	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471044	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471045	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471046	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471047	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471048	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471049	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471050	2005	Panama	Homo sapiens	multidrug-resistant
SAMN02471051	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471052	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471053	2008	Panama	Homo sapiens	multidrug-resistant
SAMN02471054	2008	Panama	Homo sapiens	multidrug-resistant
SAMN02471055	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471056	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471057	2011	Panama	Homo sapiens	multidrug-resistant
SAMN02471058	2005	Panama	Homo sapiens	multidrug-resistant
SAMN02471059	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471060	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471061	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471062	2008	Panama	Homo sapiens	multidrug-resistant
SAMN02471066	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471067	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471070	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471071	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471072	2010	Panama	Homo sapiens	multidrug-resistant
SAMN02471073	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471074	2005	Panama	Homo sapiens	multidrug-resistant
SAMN02471075	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471076	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471077	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471078	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471080	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471081	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471082	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471083	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471084	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471091	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471092	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471093	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471094	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471095	2007	Panama	Homo sapiens	multidrug-resistant
SAMN02471096	2008	Panama	Homo sapiens	multidrug-resistant
SAMN02471097	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471098	2009	Panama	Homo sapiens	multidrug-resistant
SAMN02471099	2010	Panama	Homo sapiens	multidrug-resistant
SAMN02471100	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471101	2007	Panama	Homo sapiens	multidrug-resistant
SAMN02471102	2007	Panama	Homo sapiens	multidrug-resistant
SAMN02471104	2004	Panama	Homo sapiens	multidrug-resistant
SAMN02471105	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471109	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471110	2003	Panama	Homo sapiens	multidrug-resistant
SAMN02471111	2006	Panama	Homo sapiens	multidrug-resistant
SAMN02471112	2007	Panama	Homo sapiens	multidrug-resistant
SAMN02471862	2011	Malaysia	Homo sapiens	multidrug-resistant
SAMN02603011	2005	China	Homo sapiens	multidrug-resistant
SAMN04023334	2010-05-08	China	Homo sapiens	multidrug-resistant
SAMN09477757	2017-03-08	Myanmar	Homo sapiens	multidrug-resistant
SAMN16624771	2019	Malaysia	Homo sapiens	sensitive
SAMN16624772	2019	Malaysia	Homo sapiens	sensitive
SAMN16624773	2019	Malaysia	Homo sapiens	sensitive
SAMN16624774	2019	Malaysia	Homo sapiens	sensitive
SAMN16624775	2019	Malaysia	Homo sapiens	sensitive
