BioSample	collection_date	host_species	host_sex	host_tissue_sampled	host_health_state	host_disease	host_disease_stage	host_disease_outcome	drug_resistance
SAMN02567761	2007-06-04	Pan troglodytes							
SAMN02567762	2006-10-17	Homo sapiens							
SAMN02567763	2001-04-26	Homo sapiens							
SAMN02567764	2008-01-31	Homo sapiens							
SAMN02567765	2006-01-13	Homo sapiens							
SAMN02567766	2001-07-06	Homo sapiens							
SAMN02567767	2004-01-05	Homo sapiens							
SAMD00000334	1951	Homo sapiens		Sputum					
SAMD00065354	2004	Homo sapiens							
SAMD00076256	2008-04-18	Homo sapiens		Sputum		Pulmonary Tuberculosis			
SAMD00076257	2008-07-18	Homo sapiens		Sputum		Pulmonary Tuberculosis			
SAMD00076258	2009-03-24	Homo sapiens		Sputum		Pulmonary Tuberculosis			
SAMD00076259	2007-09-05	Homo sapiens		Sputum		Pulmonary Tuberculosis			
SAMD00322307	2020								
SAMEA1015921	2008	Homo sapiens			Disease				
SAMEA1015922	2008	Homo sapiens			Disease				
SAMEA1015923	2008	Homo sapiens			Disease				
SAMEA1015927	2009	Homo sapiens			Disease				
SAMEA1015929	2008	Homo sapiens			Disease				
SAMEA1015931	2008	Homo sapiens			Disease				
SAMEA1015932	2008	Homo sapiens			Disease				
SAMEA1015933	2009	Homo sapiens			Disease				
SAMEA1015935	2009	Homo sapiens			Disease				
SAMEA1015936	2009	Homo sapiens			Disease				
SAMEA1015937	2009	Homo sapiens			Disease				
SAMEA1015939	2008	Homo sapiens			Disease				
SAMEA1015940	2008	Homo sapiens			Disease				
SAMEA1015941	2009	Homo sapiens			Disease				
SAMEA1015942	2008	Homo sapiens			Disease				
SAMEA1015943	2009	Homo sapiens			Disease				
SAMEA1015944	2008	Homo sapiens			Disease				
SAMEA1015949	2008	Homo sapiens			Disease				
SAMEA1015951	2008	Homo sapiens			Disease				
SAMEA1015954	2009	Homo sapiens			Disease				
SAMEA1015957	2009	Homo sapiens			Disease				
SAMEA1015958	2008	Homo sapiens			Disease				
SAMEA1015959	2009	Homo sapiens			Disease				
SAMEA1015960	2008	Homo sapiens			Disease				
SAMEA1015961	2008	Homo sapiens			Disease				
SAMEA1015962	2009	Homo sapiens			Disease				
SAMEA1015968	2009	Homo sapiens			Disease				
SAMEA1015969	2008	Homo sapiens			Disease				
SAMEA1015973	2008	Homo sapiens			Disease				
SAMEA1015975	2009	Homo sapiens			Disease				
SAMEA1015977	2009	Homo sapiens			Disease				
SAMEA1015978	2009	Homo sapiens			Disease				
SAMEA1015979	2009	Homo sapiens			Disease				
SAMEA1015980	2008	Homo sapiens			Disease				
