genome.genome_id	genome_drug.antibiotic	genome_drug.computational_method	genome_drug.evidence	genome_drug.laboratory_typing_method	genome_drug.laboratory_typing_method_version	genome_drug.laboratory_typing_platform	genome_drug.measurement	genome_drug.measurement_sign	genome_drug.measurement_unit	genome_drug.measurement_value	genome_drug.resistant_phenotype	genome_drug.source	genome_drug.taxon_id	genome_drug.testing_standard	genome_drug.testing_standard_year
1773.20689	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20689	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	rifampin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20690	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	streptomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	ofloxacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	amikacin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	ethambutol	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	capreomycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	isoniazid	AdaBoost Classifier	Computational Method								Susceptible		1773		
1773.20688	kanamycin	AdaBoost Classifier	Computational Method								Susceptible		1773		
