id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
1	ATCC 19977	CU458896; NC_010397; PRJNA15691; PRJNA61613						Mycobacterium abscessus							finished	NCBI reference	CU458896	131	(sensu stricto) Duplicate isolate in database id = 22582	2	2	2014-12-12	2017-07-27
2	PYR-GCK	CP000656; NC_009338; PRJNA15760; PRJNA59421	USA	North America				Mycobacterium gilvum							finished	NCBI reference	CP000656	132	human commensal; previosly named M. flavescens	2	2	2014-12-12	2017-07-27
3	Br4923	FM211192; NC_011896; PRJEA31271; PRJNA59293	Brazil	South America				Mycobacterium leprae	1996						finished	NCBI reference	FM211192	133	human skin biopsy	2	2	2014-12-12	2017-07-27
4	TN	AL450380; NC_002677; PRJNA57697; PRJNA90	India	Asia				Mycobacterium leprae							finished	NCBI reference	AL450380	134		2	2	2014-12-12	2017-07-27
5	M	CP000854; NC_010612; PRJNA16725; PRJNA59423	USA	North America				Mycobacterium marinum	1992						finished	NCBI reference	CP000854	135	preiously named M. balnei	2	2	2014-12-12	2017-08-16
6	MC2 155	CP000480; NC_008596; PRJNA57701; PRJNA92	USA	North America				Mycobacterium smegmatis	1990						finished	NCBI reference	CP000480	136	human commensal	2	2	2014-12-12	2017-07-27
7	MCS	CP000384; NC_008146; PRJNA15762; PRJNA58465	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000384	137	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
8	JLS	CP000580; NC_009077; PRJNA16079; PRJNA58489	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000580	138	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
9	KMS	CP000518; NC_008705; PRJNA16081; PRJNA58491	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000518	139	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
10	CDC1551	AE000516; NC_002755; PRJNA223; PRJNA57775	USA	North America				Mycobacterium tuberculosis	1995						finished	NCBI reference	AE000516	140		2	2	2014-12-12	2017-08-24
11	F11	CP000717; NC_009565; PRJNA15642; PRJNA58417	South Africa	Africa				Mycobacterium tuberculosis							finished	NCBI reference	CP000717	141	epidemic strain	2	2	2014-12-12	2017-08-24
12	H37Ra	CP000611; NC_009525; PRJNA18883; PRJNA58853	China	Asia				Mycobacterium tuberculosis	1934						finished	NCBI reference	CP000611	142		2	2	2014-12-12	2017-08-10
13	H37Rv	AL123456; NC_000962; PRJNA224; PRJNA57777	UK	Europe				Mycobacterium tuberculosis	1905						finished	NCBI reference	AL123456	143	L4; H37 isolated from human in 1905, H37Rv derived from that strain in 1934	2	-1	2014-12-12	2022-06-29
14	KZN 1435	CP001658; NC_012943; PRJNA21055; PRJNA59069	South Africa	Africa				Mycobacterium tuberculosis							finished	NCBI reference	CP001658	144		2	2	2014-12-12	2017-08-24
15	Agy99	CP000325; NC_008611; PRJNA16230; PRJNA62939	Ghana	Africa				Mycobacterium ulcerans	1999						finished	NCBI reference	CP000325	145	environmental, aquatic ecosystems; human pathogen	2	-1	2014-12-12	2022-06-29
16	PYR-1	CP000511; NC_008726; PRJNA15761; PRJNA58463	USA	North America				Mycobacterium vanbaalenii	1986						finished	NCBI reference	CP000511	146	sample isolated from watershed sediment; environmental; opportunistic human pathogen	2	2	2014-12-12	2017-07-27
17	104	CP000479; NC_008595; PRJNA57693; PRJNA88	USA	North America				Mycobacterium avium	1983						finished	NCBI reference	CP000479	763	AIDS patient	2	2	2014-12-12	2017-07-27
18	K-10	AE016958; NC_002944; PRJNA57699; PRJNA91	USA	North America				Mycobacterium avium	1970						finished	NCBI reference	AE016958	764	Causative agent of Johne's disease, or paratuberculosis, a chronic severe intestinal infection; source: dairy herd; paratuberculosis	2	2	2014-12-12	2017-07-27
19	AF2122/97	BX248333; NC_002945; PRJNA57695; PRJNA89	UK	Europe				Mycobacterium bovis	1997						finished	NCBI reference	BX248333	765	cattle pathogen Causative agent of bovine tuberculosis	2	2	2014-12-12	2017-08-24
20	BCGPasteur1173P2	AM408590; NC_008769; PRJEA18059; PRJNA58781	France	Europe				Mycobacterium bovis	1920						finished	NCBI reference	AM408590	766	The causal agent of bovine tuberculosis. This organism was used to produce the antigen utilized in vaccine development.	2	2	2014-12-12	2017-08-24
21	BCGTokyo172	AP010918; NC_012207; PRJDA31211; PRJNA59281	Japan	Asia				Mycobacterium bovis							finished	NCBI reference	AP010918	767	one of the daughter strains of BCG used for vaccine production (others are Danish, Glaxo, Pasteur, Moreau, Tokyo, and Russia)	2	2	2014-12-12	2017-08-24
22	ATCC 25291	ACFI01; GCA_000174035.1; PRJNA30909; PRJNA55387; SAMN02470543						Mycobacterium avium							draft	NCBI assembly		1028	isolated from hen	2	2	2014-12-12	2017-07-27
23	ATCC 13950	ABIN01; GCA_000172115.1; PRJNA27955; PRJNA55007; SAMN02470538						Mycobacterium intracellulare							draft	NCBI assembly		1029	clinical specimen	2	2	2014-12-12	2017-08-07
24	ATCC 12478	PRJNA30907; PRJNA55385						Mycobacterium kansasii							draft	NCBI reference		1030	clinical specimen	2	2	2014-12-12	2017-08-16
25	02_1987	ABLM01; GCA_000155165.1; PRJNA29167; PRJNA55097; SAMN02595225						Mycobacterium tuberculosis							draft	NCBI assembly		1031		2	2	2014-12-12	2017-08-24
26	94_M4241A	ABLL01; GCA_000155145.1; PRJNA29165; PRJNA55095; SAMN02595224						Mycobacterium tuberculosis							draft	NCBI assembly		1032		2	2	2014-12-12	2017-08-24
27	98-R604 INH-RIF-EM	ABVM01; GCA_000155795.1; PRJNA30979; PRJNA55399; SAMN02595232	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI assembly		1033	clinical specimen	2	2	2014-12-12	2017-08-24
28	C	AAKR01; GCA_000152505.1; PRJNA16172; PRJNA54359; SAMN02595209	USA	North America				Mycobacterium tuberculosis							draft	NCBI assembly		1034		2	1	2014-12-12	2022-06-16
29	CPHL_A	ACHP01; GCA_000159755.1; PRJNA34553; PRJNA55877; SAMN02595306						Mycobacterium tuberculosis							draft	NCBI assembly		1035		2	2	2014-12-12	2017-08-24
30	EAS054	ABOV01; GCA_000155225.1; PRJNA29329; PRJNA55133; SAMN02595227						Mycobacterium tuberculosis							draft	NCBI assembly		1036		2	2	2014-12-12	2017-08-24
31	GM 1503	ABQG01; GCA_000155285.1; PRJNA30015; PRJNA55271; SAMN02595229						Mycobacterium tuberculosis							draft	NCBI assembly		1037		2	1	2014-12-12	2022-06-16
32	H37Ra	AAYK01; GCA_000169515.1; PRJNA18649; PRJNA54595; SAMN02469331						Mycobacterium tuberculosis	1934						draft	NCBI assembly		1038		2	2	2014-12-12	2017-08-11
33	Haarlem	AASN01; PRJNA17353; PRJNA54453						Mycobacterium tuberculosis							draft	NCBI reference		1039	This NCBI Assembly entry has been replaced at NCBI by CP001664.1; Haarlem	2	2	2014-12-12	2017-08-24
34	K85	ACHQ01; GCA_000159775.1; PRJNA34555; PRJNA55879; SAMN02595307						Mycobacterium tuberculosis							draft	NCBI assembly		1040		2	2	2014-12-12	2017-08-24
35	KZN 4207	PRJNA21053; PRJNA83619	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI reference		1041	This NCBI Assembly entry has been superseded by NC_016768.1	2	2	2014-12-12	2017-08-24
36	KZN 605	PRJNA21057; PRJNA54947	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI reference		1042		2	2	2014-12-12	2017-08-24
37	T17	ABQH01; GCA_000155305.1; PRJNA30017; PRJNA55273; SAMN02595230						Mycobacterium tuberculosis							draft	NCBI assembly		1043	L1	2	2	2014-12-12	2017-08-16
38	T46	ACHO01; GCA_000159735.1; PRJNA34551; PRJNA55875; SAMN02595305						Mycobacterium tuberculosis							draft	NCBI assembly		1044		2	2	2014-12-12	2017-08-24
39	T85	ABOW01; GCA_000155245.1; PRJNA29327; PRJNA55131; SAMN02595228						Mycobacterium tuberculosis							draft	NCBI assembly		1045	L2	2	2	2014-12-12	2017-08-24
40	T92	ABLN01; GCA_000155185.1; PRJNA29169; PRJNA55099; SAMN02595226						Mycobacterium tuberculosis							draft	NCBI assembly		1046	L1	2	2	2014-12-12	2017-08-24
