runA	runB	runC	runD
SRR1162845	SRR1146379	SRR1144794	SRR1162795
SRR1166922	SRR1165512	SRR1162828	SRR1165592
SRR1165468	SRR1166865	SRR1162739	SRR1167123
SRR1166709	SRR1165577	SRR1162707	SRR1165536
SRR1166864	SRR1165535	SRR1162709	SRR1165553
SRR1166711	SRR1165589	SRR1165498	SRR1162753
SRR1162833	SRR1163107	SRR1165403	SRR1167097
SRR1166714	SRR1162725	SRR1165503	SRR1165593
SRR1165549	SRR1162695	SRR1166879	SRR1165524
SRR1146324	SRR1163355	SRR1163075	SRR1144782
SRR1163051	SRR1146416	SRR1144789	SRR1163146
SRR1146289	SRR1144833	SRR1162968	SRR1163085
SRR1162699	SRR1165469	SRR1166713	SRR1165596
SRR1163381	SRR1163339	SRR1146283	SRR1144755
SRR1146333	SRR1166909	SRR1144763	SRR1162891
SRR1162969	SRR1144828	SRR1163008	SRR1146381
SRR1144724	SRR1163424	SRR1146300	SRR1163351
SRR1163093	SRR1146301	SRR1163179	SRR1144785
SRR1144816	SRR1146359	SRR1163344	SRR1163327
SRR1162834	SRR1146314	SRR1144726	SRR1166815
SRR1163174	SRR1144792	SRR1163110	SRR1146306
SRR1163448	SRR1163039	SRR1146378	SRR1144756
SRR1144739	SRR1163425	SRR1146364	SRR1162954
SRR1163003	SRR1144775	SRR1146294	SRR1162853
SRR1163147	SRR1146271	SRR1144746	SRR1163360
SRR1162881	SRR1163087	SRR1144810	SRR1146417
SRR1144811	SRR1163230	SRR1146349	SRR1162854
SRR1146421	SRR1163040	SRR1163015	SRR1144735
SRR1144798	SRR1163094	SRR1146376	SRR1163490
SRR1163176	SRR1163024	SRR1144770	SRR1146315
SRR1144804	SRR1146278	SRR1163141	SRR1163300
SRR1144784	SRR1162796	SRR1166925	SRR1146330
SRR1166874	SRR1162801	SRR1146373	SRR1144830
SRR1166924	SRR1144832	SRR1146302	SRR1162826
SRR1144767	SRR1162866	SRR1146418	SRR1163077
SRR1162836	SRR1165369	SRR1166804	SRR1167099
SRR1166926	SRR1165525	SRR1165557	SRR1162886
SRR1165580	SRR1165473	SRR1162822	SRR1166828
SRR1162700	SRR1165543	SRR1166707	SRR1165572
SRR1166722	SRR1167113	SRR1165427	SRR1162708
SRR1165444	SRR1162887	SRR1162884	SRR1167087
SRR1162877	SRR1165457	SRR1162867	SRR1167058
SRR1162842	SRR1167134	SRR1165499	SRR1166819
SRR1162823	SRR1166934	SRR1165538	SRR1165567
SRR1165601	SRR1162802	SRR1166868	SRR1165529
SRR1162829	SRR1165541	SRR1165597	SRR1166875
SRR1163288	SRR1165585	SRR1163345	SRR1165515
SRR1163294	SRR1167092	SRR1165436	SRR1163419
SRR1162873	SRR1163234	SRR1165594	SRR1165504
SRR1162819	SRR1165598	SRR1162876	SRR1165526
SRR1163208	SRR1163201	SRR1167131	SRR1165432
SRR1162825	SRR1166820	SRR1165581	SRR1165516
SRR1165376	SRR1167138	SRR1163462	SRR1163483
SRR1165604	SRR1165502	SRR1162811	SRR1166869
SRR1163219	SRR1163031	SRR1167079	SRR1165394
SRR1167151	SRR1165366	SRR1166935	SRR1162897
SRR1165590	SRR1165532	SRR1163223	SRR1162861
SRR1165437	SRR1166870	SRR1167080	SRR1162848
SRR1165377	SRR1167114	SRR1166919	SRR1162812
SRR1165446	SRR1166937	SRR1167075	SRR1162878
SRR1167061	SRR1163413	SRR1165372	SRR1163142
SRR1165591	SRR1163041	SRR1165495	SRR1163004
SRR1165399	SRR1166915	SRR1167081	SRR1162815
SRR1163032	SRR1162843	SRR1165480	SRR1165595
SRR1162992	SRR1165419	SRR1167152	SRR1162880
SRR1162803	SRR1165478	SRR1162868	SRR1165558
SRR1162888	SRR1165453	SRR1166877	SRR1167073
SRR1162870	SRR1165500	SRR1165559	SRR1162959
SRR1166805	SRR1162754	SRR1165599	SRR1165481
SRR1162755	SRR1165568	SRR1166823	SRR1165507
SRR1165527	SRR1166938	SRR1162726	SRR1165586
ERR552619	ERR552620	ERR552621	ERR552622
ERR552875	ERR552876	ERR552877	ERR552878
ERR552989	ERR552990	ERR552991	ERR552992
