BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	geo_loc_name	host	isolation_source	sample_name	strain
SAMEA2534772	2016-06-13	2014-05-15	ERC000011	SAMEA2534772	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:08Z	public	ERR552621	ERS458174	10292-09					10292-09	
SAMEA2534974	2016-06-13	2014-05-15	ERC000011	SAMEA2534974	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:14Z	public	ERR552877	ERS458376	10298-09					10298-09	
SAMEA2535055	2016-06-13	2014-05-15	ERC000011	SAMEA2535055	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:16Z	public	ERR552991	ERS458457	8313-09					8313-09	
SAMN02414845										SRR1166713	SRS553707		2007	Sweden	Homo sapiens	sputum		BTB07-168
SAMN02414846										SRR1162739	SRS553733		2003	Sweden	Homo sapiens	sputum		BTB03-168
SAMN02414847										SRR1162707	SRS553712		2003	Sweden	Homo sapiens	gland		BTB03-169
SAMN02414851										SRR1162709	SRS553716		2003	Sweden	Homo sapiens	sputum		BTB04-011
SAMN02414854										SRR1165498	SRS553741		2004	Sweden	Homo sapiens	sputum		BTB04-128
SAMN02414855										SRR1165403	SRS553776		2004	Sweden	Homo sapiens	VSK		BTB04-158
SAMN02414857										SRR1165503	SRS553724		2004	Sweden	Homo sapiens	sputum		BTB04-388
SAMN02414858										SRR1166879	SRS553704		2004	Sweden	Homo sapiens	sputum		BTB04-416
SAMN02414864										SRR1163075	SRS543551		2005	Sweden	Homo sapiens	lymph galnd		BTB05-371
SAMN02414865										SRR1144794	SRS543558		2003	Sweden	Homo sapiens	bronchial		BTB03-143
SAMN02414870										SRR1144789	SRS543556		2006	Sweden	Homo sapiens	lymph galnd		BTB06-467
SAMN02414873										SRR1162968	SRS543587		2006	Sweden	Homo sapiens	sputum		BTB07-034
SAMN02414877										SRR1162828	SRS553774		2003	Sweden	Homo sapiens	sputum		BTB03-144
SAMN02414878										SRR1146283	SRS543534		2007	Sweden	Homo sapiens	sputum		BTB07-170
SAMN02414880										SRR1144763	SRS543539		2007	Sweden	Homo sapiens	sputum		BTB07-234
SAMN02414881										SRR1163008	SRS543582		2007	Sweden	Homo sapiens	sputum		BTB07-243
SAMN02414883										SRR1146300	SRS543513		2007	Sweden	Homo sapiens	BAL		BTB07-254
SAMN02414887										SRR1163179	SRS543553		2007	Sweden	Homo sapiens	sputum		BTB07-299
SAMN02414890										SRR1163344	SRS543573		2007	Sweden	Homo sapiens	sputum		BTB07-323
SAMN02414897										SRR1144726	SRS543514		2007	Sweden	Homo sapiens	VSK		BTB08-022
SAMN02414899										SRR1163110	SRS543559		2008	Sweden	Homo sapiens	BAL		BTB08-072
SAMN02414900										SRR1146378	SRS543535		2008	Sweden	Homo sapiens	sputum		BTB08-093
SAMN02414901										SRR1146364	SRS543523		2008	Sweden	Homo sapiens	sputum		BTB08-148
SAMN02414902										SRR1146294	SRS543546		2008	Sweden	Homo sapiens	saknas		BTB08-183
SAMN02414903										SRR1144746	SRS543529		2008	Sweden	Homo sapiens	sputum		BTB08-221
SAMN02414916										SRR1144810	SRS543569		2009	Sweden	Homo sapiens	sputum		BTB09-086
SAMN02414917										SRR1146349	SRS543570		2009	Sweden	Homo sapiens	sputum		BTB09-091
SAMN02414918										SRR1163015	SRS543521		2009	Sweden	Homo sapiens	secrete		BTB09-151
SAMN02414919										SRR1146376	SRS543561		2009	Sweden	Homo sapiens	sputum		BTB09-157
SAMN02414921										SRR1144770	SRS543543		2009	Sweden	Homo sapiens	abscess		BTB09-230
SAMN02414923										SRR1163141	SRS543566		2009	Sweden	Homo sapiens	PX colon		BTB09-382
