BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	common name	geo_loc_name	host	isolate	isolation_source	sample_name
SAMEA104172420	2017-09-17	2017-07-24	ERC000011	SAMEA104172420	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041716	ERS1831438	3924-12		Mycobacterium tuberculosis complex bacterium					3924-12
SAMEA104172422	2017-09-17	2017-07-24	ERC000011	SAMEA104172422	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041800	ERS1831440	9940-13		Mycobacterium tuberculosis complex bacterium					9940-13
SAMEA104172459	2017-09-17	2017-07-24	ERC000011	SAMEA104172459	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041791	ERS1831477	9934-13		Mycobacterium tuberculosis complex bacterium					9934-13
SAMEA104172469	2017-09-17	2017-07-24	ERC000011	SAMEA104172469	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:55Z	public	ERR2041702	ERS1831487	3914-12		Mycobacterium tuberculosis complex bacterium					3914-12
SAMEA104394386	2017-11-21	2017-11-21	ERC000011	SAMEA104394386	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199741	ERS2012328	1000-15		Mycobacterium tuberculosis complex bacterium					1000-15
SAMEA104394393	2017-11-21	2017-11-21	ERC000011	SAMEA104394393	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199753	ERS2012335	10169-14		Mycobacterium tuberculosis complex bacterium					10169-14
SAMEA104394395	2017-11-21	2017-11-21	ERC000011	SAMEA104394395	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199756	ERS2012337	10221-14		Mycobacterium tuberculosis complex bacterium					10221-14
SAMEA104394396	2017-11-21	2017-11-21	ERC000011	SAMEA104394396	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199761	ERS2012338	1032-15		Mycobacterium tuberculosis complex bacterium					1032-15
SAMEA104394397	2017-11-21	2017-11-21	ERC000011	SAMEA104394397	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199763	ERS2012339	10393-14		Mycobacterium tuberculosis complex bacterium					10393-14
SAMEA104394398	2017-11-21	2017-11-21	ERC000011	SAMEA104394398	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199765	ERS2012340	10424-13		Mycobacterium tuberculosis complex bacterium					10424-13
SAMEA104394404	2017-11-21	2017-11-21	ERC000011	SAMEA104394404	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199775	ERS2012346	1060-10		Mycobacterium tuberculosis complex bacterium					1060-10
SAMEA104394418	2017-11-21	2017-11-21	ERC000011	SAMEA104394418	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199791	ERS2012360	11054-14		Mycobacterium tuberculosis complex bacterium					11054-14
SAMEA104394428	2017-11-21	2017-11-21	ERC000011	SAMEA104394428	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199803	ERS2012370	11817-14		Mycobacterium tuberculosis complex bacterium					11817-14
SAMEA104394445	2017-11-21	2017-11-21	ERC000011	SAMEA104394445	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199825	ERS2012387	13018-13		Mycobacterium tuberculosis complex bacterium					13018-13
