BioSample	Alias	ArrayExpress-Species	Biosample	ENA checklist	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA accession	Submitter Id	Title	collected_by	collection_date	common name	genotype	geo_loc_name	host	host_disease	host_health_state	isolate	isolation_source	lat_lon	pubmed id	pubmed_id	sample_name	species	strain
SAMEA1018838		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018838	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_220-sc-2011-04-19T12:42:06Z-1125207			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_220-sc-2011-04-19T12:42:06Z-1125207		Bir 220
SAMEA1018839		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018839	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:16Z	public		Bir_264-sc-2011-04-19T12:42:29Z-1125248			2003			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_264-sc-2011-04-19T12:42:29Z-1125248		Bir 264
SAMEA1018840		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018840	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T09:54:17Z	public		Bir_429-sc-2011-09-20T16:23:55Z-1279741			2009			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_429-sc-2011-09-20T16:23:55Z-1279741		Bir 429
SAMEA1018843		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018843	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:14Z	public		Bir_157-sc-2011-04-08T08:57:21Z-1118922			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_157-sc-2011-04-08T08:57:21Z-1118922		Bir 157
SAMEA1018844		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018844	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:33Z	public		Bir_301-sc-2011-04-19T12:42:51Z-1125285			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_301-sc-2011-04-19T12:42:51Z-1125285		Bir 301
SAMEA1018845		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018845	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_244-sc-2011-04-19T12:42:19Z-1125231			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_244-sc-2011-04-19T12:42:19Z-1125231		Bir 244
SAMEA1018846		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018846	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:22Z	public		Bir_341-sc-2011-05-27T14:47:41Z-1154757			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_341-sc-2011-05-27T14:47:41Z-1154757		Bir 341
SAMEA1018848		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018848	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:40Z	public		Bir_374-sc-2011-05-27T14:48:02Z-1154790			2004			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_374-sc-2011-05-27T14:48:02Z-1154790		Bir 374
SAMEA1018849		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018849	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T09:53:33Z	public		Bir_233-sc-2011-04-19T12:42:12Z-1125220			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_233-sc-2011-04-19T12:42:12Z-1125220		Bir 233
SAMEA1018850		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018850	SC	Wellcome Sanger Institute	2012-01-31T11:45:54Z	2018-03-09T09:54:07Z	public		Bir_421-sc-2011-09-20T16:23:50Z-1279733			1998			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_421-sc-2011-09-20T16:23:50Z-1279733		Bir 421
SAMEA1018853		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018853	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:28Z	public		Bir_219-sc-2011-04-19T12:42:05Z-1125206			2004			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_219-sc-2011-04-19T12:42:05Z-1125206		Bir 219
SAMEA1018855		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018855	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T10:06:16Z	public		Bir_265-sc-2011-04-19T12:42:29Z-1125249			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_265-sc-2011-04-19T12:42:29Z-1125249		Bir 265
SAMEA1018856		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018856	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_245-sc-2011-04-19T12:42:20Z-1125232			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_245-sc-2011-04-19T12:42:20Z-1125232		Bir 245
SAMEA1018857		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018857	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:14Z	public		Bir_158-sc-2011-04-08T08:57:22Z-1118923			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_158-sc-2011-04-08T08:57:22Z-1118923		Bir 158
SAMEA1018859		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018859	SC	Wellcome Sanger Institute	2011-09-27T09:08:55Z	2018-03-09T11:42:59Z	public		Bir_302-sc-2011-04-19T12:42:51Z-1125286			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_302-sc-2011-04-19T12:42:51Z-1125286		Bir 302
SAMEA1018862		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018862	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:39Z	public		Bir_342-sc-2011-05-27T14:47:42Z-1154758			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_342-sc-2011-05-27T14:47:42Z-1154758		Bir 342
SAMEA1018863		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018863	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T13:28:43Z	public		Bir_231-sc-2011-04-19T12:42:11Z-1125218			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_231-sc-2011-04-19T12:42:11Z-1125218		Bir 231
SAMEA1018864		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018864	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:33Z	public		Bir_241-sc-2011-04-19T12:42:17Z-1125228			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_241-sc-2011-04-19T12:42:17Z-1125228		Bir 241
SAMEA1018866		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018866	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:22Z	public		Bir_339-sc-2011-05-27T14:47:40Z-1154755			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_339-sc-2011-05-27T14:47:40Z-1154755		Bir 339
SAMEA1018867		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018867	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T11:43:21Z	public		Bir_378-sc-2011-05-27T14:48:03Z-1154793			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_378-sc-2011-05-27T14:48:03Z-1154793		Bir 378
SAMEA1018869		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018869	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:33Z	public		Bir_266-sc-2011-04-19T12:42:30Z-1125250			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_266-sc-2011-04-19T12:42:30Z-1125250		Bir 266
SAMEA1018870		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018870	SC	Wellcome Sanger Institute	2011-09-27T09:08:55Z	2018-03-09T10:06:16Z	public		Bir_267-sc-2011-04-19T12:42:31Z-1125251			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_267-sc-2011-04-19T12:42:31Z-1125251		Bir 267
SAMEA1018871		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018871	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:25Z	public		Bir_159-sc-2011-04-08T08:57:22Z-1118924			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_159-sc-2011-04-08T08:57:22Z-1118924		Bir 159
SAMEA1018872		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018872	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T10:06:26Z	public		Bir_432-sc-2011-09-20T16:23:57Z-1279744			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_432-sc-2011-09-20T16:23:57Z-1279744		Bir 432
SAMEA1018878		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018878	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:38Z	public		Bir_377-sc-2011-05-27T14:48:03Z-1154792			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_377-sc-2011-05-27T14:48:03Z-1154792		Bir 377
SAMEA1018881		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018881	SC	Wellcome Sanger Institute	2012-01-31T11:45:54Z	2018-03-09T10:06:26Z	public		Bir_407-sc-2011-09-20T17:13:37Z-1279719			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_407-sc-2011-09-20T17:13:37Z-1279719		Bir 407
SAMEA1018883		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018883	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T10:06:22Z	public		Bir_340-sc-2011-05-27T14:47:40Z-1154756			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_340-sc-2011-05-27T14:47:40Z-1154756		Bir 340
SAMEA1018884		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018884	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:03:44Z	public		Bir_300-sc-2011-04-19T12:42:50Z-1125284			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_300-sc-2011-04-19T12:42:50Z-1125284		Bir 300
SAMEA1018885		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018885	SC	Wellcome Sanger Institute	2012-01-31T11:45:54Z	2018-03-09T09:54:07Z	public		Bir_418-sc-2011-09-20T16:23:47Z-1279730			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_418-sc-2011-09-20T16:23:47Z-1279730		Bir 418
SAMEA1018886		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018886	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_268-sc-2011-04-19T12:42:32Z-1125252			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_268-sc-2011-04-19T12:42:32Z-1125252		Bir 268
SAMEA1018889		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018889	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:25Z	public		Bir_160-sc-2011-04-08T08:57:23Z-1118925			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_160-sc-2011-04-08T08:57:23Z-1118925		Bir 160
SAMEA1018890		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018890	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T09:53:33Z	public		Bir_232-sc-2011-04-19T12:42:12Z-1125219			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_232-sc-2011-04-19T12:42:12Z-1125219		Bir 232
SAMEA1018891		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018891	SC	Wellcome Sanger Institute	2012-01-31T11:45:54Z	2018-03-09T13:28:47Z	public		Bir_433-sc-2011-09-20T16:23:57Z-1279745			2009			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_433-sc-2011-09-20T16:23:57Z-1279745		Bir 433
SAMEA1018892		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018892	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T10:03:44Z	public		Bir_243-sc-2011-04-19T12:42:18Z-1125230			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_243-sc-2011-04-19T12:42:18Z-1125230		Bir 243
SAMEA1018896		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018896	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:28Z	public		Bir_225-sc-2011-04-19T12:42:08Z-1125212			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_225-sc-2011-04-19T12:42:08Z-1125212		Bir 225
SAMEA1018897		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018897	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:06:16Z	public		Bir_229-sc-2011-04-19T12:42:10Z-1125216			2005			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_229-sc-2011-04-19T12:42:10Z-1125216		Bir 229
SAMEA1018898		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018898	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:33Z	public		Bir_239-sc-2011-04-19T12:42:16Z-1125226			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_239-sc-2011-04-19T12:42:16Z-1125226		Bir 239
SAMEA1018899		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018899	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T09:53:40Z	public		Bir_403-sc-2011-05-27T14:48:19Z-1154818			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_403-sc-2011-05-27T14:48:19Z-1154818		Bir 403
SAMEA1018900		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018900	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T10:06:14Z	public		Bir_162-sc-2011-04-08T08:57:24Z-1118927			2004			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_162-sc-2011-04-08T08:57:24Z-1118927		Bir 162
SAMEA1018901		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018901	SC	Wellcome Sanger Institute	2011-09-27T09:08:59Z	2018-03-09T09:53:39Z	public		Bir_351-sc-2011-05-27T14:47:47Z-1154767			2010			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_351-sc-2011-05-27T14:47:47Z-1154767		Bir 351
SAMEA1018904		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018904	SC	Wellcome Sanger Institute	2011-09-27T09:08:57Z	2018-03-09T13:28:49Z	public		Bir_269-sc-2011-04-19T12:42:32Z-1125253			2006			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_269-sc-2011-04-19T12:42:32Z-1125253		Bir 269
SAMEA1018905		Mycobacterium tuberculosis			2012-01-31	2018-03-09	ERC000011	SAMEA1018905	SC	Wellcome Sanger Institute	2012-01-31T11:45:55Z	2018-03-09T09:54:17Z	public		Bir_474-sc-2011-09-20T16:24:25Z-1279786			2007			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_474-sc-2011-09-20T16:24:25Z-1279786		Bir 474
SAMEA1018906		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018906	SC	Wellcome Sanger Institute	2011-09-27T09:08:58Z	2018-03-09T10:03:26Z	public		Bir_336-sc-2011-05-27T14:47:38Z-1154752			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_336-sc-2011-05-27T14:47:38Z-1154752		Bir 336
SAMEA1018907		Mycobacterium tuberculosis			2011-09-27	2018-03-09	ERC000011	SAMEA1018907	SC	Wellcome Sanger Institute	2011-09-27T09:08:56Z	2018-03-09T09:53:23Z	public		Bir_161-sc-2011-04-08T08:57:23Z-1118926			2008			United Kingdom: Midlands	Homo sapiens		disease: tuberculosis		not known		23158499		Bir_161-sc-2011-04-08T08:57:23Z-1118926		Bir 161
