All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N75      L50  L75  # N's per 100 kbp
GCF_000253355.1_ASM25335v1_genomic              1                    1                       1                       1                        1                        1                        4389314                 4389314                    4389314                    4389314                     4389314                     4389314                     1          4389314         4389314       65.59   4389314  4389314  1    1    0.00             
GCF_000665865.1_Myco_afri_K85_V1_genomic        6                    6                       2                       2                        2                        2                        4403413                 4403413                    4394803                    4394803                     4394803                     4394803                     6          3926366         4403413       65.56   3926366  3926366  1    1    412.23           
GCF_000666065.1_Myco_afri_MAL010084_V1_genomic  4                    4                       4                       3                        2                        2                        4394304                 4394304                    4394304                    4388425                     4373029                     4373029                     4          3918190         4394304       65.59   3918190  3918190  1    1    202.65           
GCF_000666125.1_Myco_afri_MAL020148_V1_genomic  3                    3                       3                       3                        3                        3                        4389704                 4389704                    4389704                    4389704                     4389704                     4389704                     3          1888069         4389704       65.60   1290249  1211386  2    3    80.32            
GCF_000666185.1_Myco_afri_MAL010070_V1_genomic  5                    5                       3                       2                        2                        2                        4384783                 4384783                    4381177                    4374889                     4374889                     4374889                     5          3912930         4384783       65.58   3912930  3912930  1    1    15.17            
GCF_000666205.1_Myco_afri_MAL010071_V1_genomic  4                    4                       3                       2                        2                        2                        4385838                 4385838                    4384001                    4376172                     4376172                     4376172                     4          3911279         4385838       65.59   3911279  3911279  1    1    68.79            
GCF_000666225.1_Myco_afri_MAL010074_V1_genomic  4                    4                       2                       2                        2                        2                        4400807                 4400807                    4398319                    4398319                     4398319                     4398319                     4          3935762         4400807       65.60   3935762  3935762  1    1    289.95           
GCF_000666305.1_Myco_afri_MAL010081_V1_genomic  2                    2                       2                       2                        2                        2                        4389797                 4389797                    4389797                    4389797                     4389797                     4389797                     2          3918660         4389797       65.58   3918660  3918660  1    1    148.66           
GCF_000666405.1_Myco_afri_MAL010099_V1_genomic  2                    2                       2                       2                        2                        2                        4388539                 4388539                    4388539                    4388539                     4388539                     4388539                     2          3917169         4388539       65.58   3917169  3917169  1    1    42.34            
GCF_000666425.1_Myco_afri_MAL010100_V1_genomic  17                   17                      2                       2                        2                        2                        4427405                 4427405                    4399096                    4399096                     4399096                     4399096                     17         2513759         4427405       65.58   2513759  1885337  1    2    214.82           
GCF_000666445.1_Myco_afri_MAL010102_V1_genomic  3                    3                       2                       2                        2                        2                        4392898                 4392898                    4389317                    4389317                     4389317                     4389317                     3          3921652         4392898       65.59   3921652  3921652  1    1    142.84           
GCF_000666585.1_Myco_afri_MAL010111_V1_genomic  6                    6                       4                       4                        4                        4                        4387410                 4387410                    4382413                    4382413                     4382413                     4382413                     6          3076303         4387410       65.58   3076303  502726   1    2    23.70            
GCF_000666605.1_Myco_afri_MAL010112_V1_genomic  3                    3                       3                       2                        2                        2                        4396426                 4396426                    4396426                    4390198                     4390198                     4390198                     3          3925623         4396426       65.57   3925623  3925623  1    1    297.47           
GCF_000666625.1_Myco_afri_MAL010118_V1_genomic  5                    5                       3                       2                        2                        2                        4416566                 4416566                    4411548                    4405369                     4405369                     4405369                     5          3939875         4416566       65.59   3939875  3939875  1    1    260.18           
GCF_000666645.1_Myco_afri_MAL010120_V1_genomic  3                    3                       2                       2                        2                        2                        4380004                 4380004                    4376441                    4376441                     4376441                     4376441                     3          3907608         4380004       65.59   3907608  3907608  1    1    87.03            
GCF_000666685.1_Myco_afri_MAL010123_V1_genomic  2                    2                       2                       2                        2                        2                        4385125                 4385125                    4385125                    4385125                     4385125                     4385125                     2          3914690         4385125       65.59   3914690  3914690  1    1    28.30            
GCF_000666705.1_Myco_afri_MAL010128_V1_genomic  2                    2                       2                       2                        2                        1                        4384811                 4384811                    4384811                    4384811                     4384811                     4351019                     2          4351019         4384811       65.58   4351019  4351019  1    1    88.35            
GCF_000666725.1_Myco_afri_MAL010129_V1_genomic  3                    3                       3                       3                        3                        3                        4403369                 4403369                    4403369                    4403369                     4403369                     4403369                     3          3743364         4403369       65.57   3743364  3743364  1    1    447.18           
GCF_000666765.1_Myco_afri_MAL010131_V1_genomic  3                    3                       3                       3                        3                        3                        4410558                 4410558                    4410558                    4410558                     4410558                     4410558                     3          2965170         4410558       65.59   2965170  968622   1    2    347.55           
GCF_000666845.1_Myco_afri_MAL010137_V1_genomic  4                    4                       3                       2                        2                        2                        4390721                 4390721                    4389399                    4381386                     4381386                     4381386                     4          3919161         4390721       65.58   3919161  3919161  1    1    123.94           
