Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_000008585.1_ASM858v1_genomic	1	1	1	1	1	1	4403837	4403837	4403837	4403837	4403837	4403837	1	4403837	4403837	65.61	4403837	4403837	1	1	3.97
GCF_000009445.1_ASM944v1_genomic	1	1	1	1	1	1	4374522	4374522	4374522	4374522	4374522	4374522	1	4374522	4374522	65.64	4374522	4374522	1	1	0.00
GCF_000010685.1_ASM1068v1_genomic	1	1	1	1	1	1	4371711	4371711	4371711	4371711	4371711	4371711	1	4371711	4371711	65.64	4371711	4371711	1	1	0.00
GCF_000016145.1_ASM1614v1_genomic	1	1	1	1	1	1	4419977	4419977	4419977	4419977	4419977	4419977	1	4419977	4419977	65.61	4419977	4419977	1	1	0.00
GCF_000016925.1_ASM1692v1_genomic	1	1	1	1	1	1	4424435	4424435	4424435	4424435	4424435	4424435	1	4424435	4424435	65.62	4424435	4424435	1	1	0.00
GCF_000023625.1_ASM2362v1_genomic	1	1	1	1	1	1	4398250	4398250	4398250	4398250	4398250	4398250	1	4398250	4398250	65.61	4398250	4398250	1	1	0.00
GCF_000153685.2_ASM15368v2_genomic	1	1	1	1	1	1	4408224	4408224	4408224	4408224	4408224	4408224	1	4408224	4408224	65.63	4408224	4408224	1	1	0.00
GCF_000154585.2_ASM15458v2_genomic	1	1	1	1	1	1	4394985	4394985	4394985	4394985	4394985	4394985	1	4394985	4394985	65.62	4394985	4394985	1	1	0.00
GCF_000154605.2_ASM15460v2_genomic	1	1	1	1	1	1	4399120	4399120	4399120	4399120	4399120	4399120	1	4399120	4399120	65.61	4399120	4399120	1	1	0.00
GCF_000162975.1_ASM16297v1_genomic	1	1	1	1	1	1	4397373	4397373	4397373	4397373	4397373	4397373	1	4397373	4397373	65.57	4397373	4397373	1	1	308.75
GCF_000162995.1_ASM16299v1_genomic	1	1	1	1	1	1	4397242	4397242	4397242	4397242	4397242	4397242	1	4397242	4397242	65.48	4397242	4397242	1	1	933.63
GCF_000163015.1_ASM16301v1_genomic	1	1	1	1	1	1	4397243	4397243	4397243	4397243	4397243	4397243	1	4397243	4397243	65.51	4397243	4397243	1	1	676.24
GCF_000177795.2_ASM17779v2_genomic	63	45	26	26	22	20	4377068	4364795	4333030	4333030	4257900	4185243	63	638451	4377068	65.36	255581	148186	6	11	729.85
