Assembly	BioSample	bioproject	organism_name	infraspecific_name	contigs	Largest_contig	Total_length	GC	collection_date	country	host_species	drug_resistance
GCF_000729745.1	SAMN02899098	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=09-1191	86	298368	4327459	65.57	2009	Argentina	Bos taurus	
GCF_000729755.1	SAMN02899231	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=05-567	69	298367	4328889	65.57	2000	Argentina	Bos taurus	
GCF_000729765.1	SAMN02899232	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=05-566	89	308410	4308143	65.5	2000	Argentina	Bos taurus	
GCF_000749605.1	SAMN02902641	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=49-09	61	333073	4333756	65.59	2009	Brazil	Bos taurus	
GCF_000749615.1	SAMN02902640	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=32-08	83	298365	4314192	65.56	2008	Brazil	Bos taurus	
GCF_000749625.1	SAMN02902638	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=18-08C	63	332981	4329318	65.58	2008	Brazil	Bos taurus	
GCF_000749665.1	SAMN02902644	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=35	94	408800	4275484	65.6	2003	Brazil	Bos taurus	
GCF_000749675.1	SAMN02902642	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=08-08BF2	108	214944	4311106	65.52	2008	Brazil	Bos taurus	
GCF_000749685.1	SAMN02902635	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=09-1193	89	393058	4308937	65.5	2009	Argentina	Bos taurus	
GCF_000749725.1	SAMN02902634	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=534	72	333163	4325986	65.56	1994	Argentina	Bos taurus	
GCF_000749745.1	SAMN02902645	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=0822-11	85	298364	4301774	65.54	2012	Brazil	Bos taurus	
GCF_000749765.1	SAMN02902639	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=61-09	68	333030	4332493	65.59	2009	Brazil	Ovis aries	
GCF_000749785.1	SAMN02902637	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=45-08B	72	290673	4320055	65.55	2008	Brazil	Bos taurus	
GCF_000749805.1	SAMN02902636	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=09-1192	56	393055	4334537	65.59	2009	Argentina	Bos taurus	
GCF_000749825.1	SAMN02902643	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=50	84	245747	4320450	65.55	2009	Brazil	Bos taurus	
GCF_000878485.1	SAMN03290670	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=W-1171	50	369266	4304865	65.57	2014-06-16	South Korea	Sus scrofa	
GCF_000934325.3	SAMN03288261	PRJNA224116	Mycobacterium tuberculosis variant bovis	strain=SP38	1	4347648	4347648	65.63	2010	Brazil	Bos taurus	
